,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,annual_vmt,Efuel Station Count,e85_area,E85 Station Count
18,Mendocino,CA,195548359000.0,37310460.0,567593740.0,14637681.5,89279.0,60205.49,0.0,29073.51,67.4,0.0,32.6,67.43521955880166,3506.343,87841,48110,39731,45.2,25.052027140527898,suburban,132.0,207.0,21.0,39.0,44.0,15.0,"$51,386",6,11040.815,44.0,0.0,0.0
19,Merced,CA,600959287000.0,76249314.0,1234693730.0,30313414.0,197103.998,146584.46,0.0,50519.538,74.4,0.0,25.6,74.36909553011473,1934.9720000000002,255793,219283,36510,14.3,132.19467775244294,suburban,60.0,72.0,45.0,26.0,25.0,25.0,"$56,169",6,11040.815,18.0,0.0,0.0
20,Mono,CA,46898975000.0,5909995.9,78404126.0,2257172.08,11887.0,5912.4137,0.0,5974.5863,49.7,0.0,50.3,49.73848500240228,3048.982,14202,7693,6509,45.8,4.6579481282605135,suburban,275.0,338.0,28.0,48.0,53.0,19.0,"$66,499",6,11040.815,7.0,0.0,0.0
21,Monterey,CA,659752890000.0,115046798.0,2022039220.0,46587471.0,328583.003,271297.72,0.0,57285.283,82.6,0.0,17.4,82.56596268046064,3280.595,415057,374315,40742,9.8,126.51881747061128,suburban,58.0,77.0,24.0,24.0,26.0,17.0,"$69,665",6,11040.815,94.0,0.0,0.0
22,Nevada,CA,266433265000.0,24159899.1,442348780.0,9878046.9,72476.0003,62555.374,0.0,9920.6263,86.3,0.0,13.7,86.31184632202606,957.7719999999999,98764,57150,41614,42.1,103.1184874897157,suburban,103.0,86.0,149.0,35.0,31.0,44.0,"$66,681",6,11040.815,16.0,0.0,0.0
23,Riverside,CA,6671700970000.0,638680283.0,10966631700.0,282064479.0,1761049.9800000002,1334513.6,295610.62,130925.76,75.8,16.8,7.4,75.77942830440705,7206.48,2189641,2088429,101212,4.6,303.84334654366626,suburban,5.0,42.0,4.0,3.0,17.0,4.0,"$66,793",6,11040.815,282.0,16.78604361443688,19.0
24,San Bernardino,CA,4254686890000.0,785605039.0,10521201840.0,306274588.0,1596698.006,796438.95,67939.166,732319.89,49.9,4.3,45.9,49.880374688340815,20056.938000000002,2035210,1938853,96357,4.7,101.47162044375868,suburban,11.0,88.0,1.0,6.0,32.0,1.0,"$63,310",6,11040.815,180.0,4.254979098970526,19.0
25,San Joaquin,CA,2383015204000.0,155934049.0,3326165018.0,67177021.8,559679.9979999999,548899.57,10780.428,0.0,98.1,1.9,0.0,98.07382297552992,1391.3220000000001,685306,627241,58065,8.5,492.55743817750323,suburban,22.0,29.0,72.0,11.0,12.0,33.0,"$63,567",6,11040.815,47.0,19.72940619378246,2.0
26,San Luis Obispo,CA,943975058000.0,83620342.0,1477867290.0,35437697.7,239665.003,194201.11,18254.906000000006,27208.987,81.0,7.6,11.4,81.03023236321044,3298.567,269637,224887,44750,16.6,81.74367839125294,suburban,44.0,102.0,23.0,22.0,34.0,16.0,"$70,626",6,11040.815,109.0,7.616842823149991,2.0
27,Shasta,CA,338543332000.0,51199937.0,712322960.0,19731241.6,109466.0,61645.108,1.1247949000000001e-13,47820.892,56.3,0.0,43.7,56.31438790099795,3775.402,177223,125321,51902,29.3,46.941491263711775,suburban,88.0,142.0,19.0,31.0,38.0,13.0,"$53,908",6,11040.815,15.0,0.0,0.0
