,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,annual_vmt,Efuel Station Count,e85_area,E85 Station Count
82,Itasca,MN,190753766000.0,33806834.6,445286836.0,19536316.71,62865.0,0.0,2551.057,60313.943,0.0,4.1,95.9,0.0,2667.722,45058,9285,35773,79.4,16.890065756476872,rural,134.0,252.0,32.0,31.0,61.0,3.0,"$53,143",6,12107.865,,4.057992538461246,1.0
83,Jackson MN,MN,51676333000.0,7094753.8,100845299.0,4739442.5,14323.0,0.0,8014.8137,6308.1863,0.0,56.0,44.0,0.0,702.982,10266,3169,7097,69.1,14.603503361394743,rural,266.0,266.0,308.0,72.0,65.0,43.0,"$54,088",6,12107.865,,55.95764624774121,3.0
84,Kanabec,MN,97102992500.0,11551792.680000005,158933831.4,6963939.89,22657.0002,1326.0785,5085.2777,16245.643999999998,5.9,22.4,71.7,5.852842203410928,521.586,16239,3670,12569,77.4,31.133887796068144,rural,200.0,186.0,356.0,53.0,39.0,66.0,"$56,950",6,12107.865,,22.44462064907829,1.0
85,Kittson,MN,27069569500.0,3367816.93,44937998.6,1996238.28,6351.00004,0.0,839.3952400000002,5511.6048,0.0,13.2,86.8,0.0,1098.8039999999999,4552,0,4552,100.0,4.142686047739178,rural,325.0,350.0,106.0,82.0,85.0,18.0,"$54,438",6,12107.865,,13.216741264164867,1.0
86,Lac qui Parle,MN,34848549770.0,5120276.306,71277855.9,3246876.9239999996,10127.99995,194.63085,3877.6837,6055.6854,1.9,38.3,59.8,1.9217105636429253,765.0210000000001,7259,0,7259,100.0,9.488628416736269,rural,304.0,298.0,284.0,78.0,74.0,30.0,"$52,445",6,12107.865,,38.28676668234568,2.0
87,Lake MN,MN,46449258100.0,8004394.81,106716054.9,4569011.859,15160.00005,747.1777400000002,416.13731,13996.685,4.9,2.7,92.3,4.92861304409729,2109.292,10866,3588,7278,67.0,5.151491590543178,rural,276.0,335.0,41.0,75.0,83.0,5.0,"$61,015",6,12107.865,1.0,2.744969078449971,1.0
88,Lake of the Woods,MN,23305845000.0,3053890.9,39996436.0,1745080.5,5644.0,0.0,0.0,5644.0,0.0,0.0,100.0,0.0,1297.869,4045,0,4045,100.0,3.1166473657973186,rural,340.0,363.0,83.0,86.0,87.0,16.0,"$52,058",6,12107.865,,0.0,0.0
89,Le Sueur,MN,142842975000.0,17362337.299999993,264758822.0,11338910.0,38650.9997,8074.7562,21699.133,8877.1105,20.9,56.1,23.0,20.891454723343642,448.76,27703,10483,17220,62.2,61.73232908458865,rural,157.0,121.0,367.0,40.0,22.0,72.0,"$67,269",6,12107.865,,56.14119513398139,3.0
90,Lincoln,MN,26918784900.0,4350572.43,58193481.7,2591052.8,8226.0,0.0,1228.1479,6997.8521,0.0,14.9,85.1,0.0,536.757,5896,0,5896,100.0,10.984486462216609,rural,326.0,283.0,352.0,83.0,70.0,63.0,"$51,305",6,12107.865,,14.930073661086746,1.0
91,Marshall,MN,54267312580.0,7117857.2,93314948.1,4075408.594,13169.000223000001,0.0,94.284223,13074.716,0.0,0.7,99.3,0.0,1775.068,9439,0,9439,100.0,5.317542764558879,rural,258.0,332.0,49.0,69.0,82.0,10.0,"$58,105",6,12107.865,,0.7159558304333058,0.0
92,Martin MN,MN,134828675000.0,14369002.6,201616670.0,8377039.2799999975,29076.0,4430.2018,4752.6572,19893.141,15.2,16.3,68.4,15.236627536372822,712.347,20840,9578,11262,54.0,29.25540502030612,rural,169.0,192.0,301.0,44.0,42.0,39.0,"$50,821",6,12107.865,1.0,16.345636326675336,1.0
93,Meeker,MN,142206493500.0,16281123.56,227614359.0,10078021.53,32508.0001,2088.6291,10382.693,20036.678,6.4,31.9,61.6,6.424969539762776,608.178,23300,8034,15266,65.5,38.31115232711476,rural,159.0,165.0,331.0,41.0,35.0,52.0,"$66,557",6,12107.865,,31.93888496067729,3.0
94,Mille Lacs,MN,134299239000.0,17551630.5,253046369.0,11117125.98,36409.9992,4079.7232,15307.043,17023.233,11.2,42.0,46.8,11.204952402281663,572.31,26097,7614,18483,70.8,45.59941290559313,rural,171.0,146.0,342.0,45.0,29.0,56.0,"$53,289",6,12107.865,1.0,42.040767393292924,2.0
95,Morrison,MN,227741226600.0,24204941.48,326794253.1,14488364.81,46317.99989,841.9313900000002,8217.3665,37258.70200000001,1.8,17.7,80.4,1.8177196650473737,1125.062,33198,9024,24174,72.8,29.507707130807013,rural,115.0,190.0,102.0,23.0,41.0,17.0,"$57,471",6,12107.865,1.0,17.741194615905986,3.0
96,Murray,MN,55644116700.0,6330295.1,86008113.0,3885425.1,12173.0,0.0,3135.6907,9037.3093,0.0,25.8,74.2,0.0,704.702,8725,0,8725,100.0,12.381119962764403,rural,256.0,278.0,306.0,68.0,69.0,42.0,"$59,938",6,12107.865,,25.75939155543528,2.0
97,Otter Tail,MN,252750677000.0,42067227.1,565369770.0,25285207.5,79949.0,0.0,14581.699,65367.301,0.0,18.2,81.8,0.0,1972.068,57303,15134,42169,73.6,29.057314453659806,rural,108.0,193.0,43.0,21.0,43.0,7.0,"$53,778",6,12107.865,,18.23875126529444,3.0
98,Pine,MN,174153443000.0,19965637.5,285229475.0,11380563.6,41507.0002,9268.1844,5544.9718,26693.844,22.3,13.4,64.3,22.329208202573128,1411.289,29750,3183,26567,89.3,21.08001975498994,rural,141.0,229.0,70.0,35.0,53.0,13.0,"$50,387",6,12107.865,4.0,13.359124551454402,2.0
99,Pipestone,MN,53681848000.0,6098425.2,91516952.0,3774549.59,13388.0,3194.1905,5413.9446,4779.8649,23.9,40.4,35.7,23.85860882156148,465.055,9596,4098,5498,57.3,20.63411854511832,rural,261.0,232.0,366.0,71.0,54.0,71.0,"$55,378",6,12107.865,1.0,40.4387851878321,2.0
100,Pope,MN,51241589752.0,7881691.956799999,108286627.337,4940646.256519998,15340.0000012,3.3757012000000004,5110.9423,10225.682,0.0,33.3,66.7,0.022005874734938088,669.7130000000001,10995,0,10995,100.0,16.417480323661024,rural,267.0,255.0,315.0,73.0,62.0,44.0,"$60,975",6,12107.865,,33.31774647314498,2.0
101,Red Lake,MN,18483007900.0,2970948.68,40312766.9,1818955.11,5705.0,0.0,1418.3006,4286.6994,0.0,24.9,75.1,0.0,432.407,4089,0,4089,100.0,9.456368652681386,rural,352.0,299.0,375.0,87.0,75.0,78.0,"$54,412",6,12107.865,,24.86065987033581,1.0
102,Redwood,MN,87452795000.0,10409496.8,154731846.0,6784123.84,22404.9997,3362.4766,11907.553,7134.9701,15.0,53.1,31.8,15.007706174622571,878.572,16059,4958,11101,69.1,18.278524696894507,rural,212.0,247.0,241.0,56.0,58.0,25.0,"$56,760",6,12107.865,2.0,53.14685720307604,5.0
103,Renville,MN,83133503000.0,10104880.4,151224580.0,6587460.35,21946.0005,3648.8052,11824.829,6472.3663,16.6,53.9,29.5,16.62628831541507,982.9060000000001,15730,0,15730,100.0,16.003564939068436,rural,217.0,257.0,143.0,58.0,64.0,22.0,"$59,787",6,12107.865,1.0,53.88147502960189,7.0
104,Rock,MN,60390847000.0,6493769.08,93531362.0,3982393.36,13515.0,2056.6026,4481.3175,6977.0799,15.2,33.2,51.6,15.217185562376981,482.455,9687,4620,5067,52.3,20.078556549315483,rural,245.0,236.0,364.0,65.0,56.0,70.0,"$63,503",6,12107.865,1.0,33.158102003669995,1.0
105,Roseau,MN,90039680000.0,11798386.0,154522020.0,6741934.9,21805.0,0.0,0.0,21805.0,0.0,0.0,100.0,0.0,1671.602,15629,2763,12866,82.3,9.349713628004752,rural,209.0,300.0,52.0,54.0,76.0,11.0,"$60,239",6,12107.865,,0.0,0.0
106,Sibley,MN,71980471700.0,10802701.72,149427610.0,6723737.881999997,21243.00025,606.75015,6826.1401,13810.11,2.9,32.1,65.0,2.856235698719161,588.779,15226,0,15226,100.0,25.86029732718049,rural,233.0,201.0,337.0,62.0,45.0,53.0,"$66,209",6,12107.865,,32.133597509530496,1.0
107,Swift,MN,65992512000.0,7052276.3,96391186.0,4378166.5,13649.0,0.0,4073.4337,9575.5663,0.0,29.8,70.2,0.0,742.0830000000001,9783,3191,6592,67.4,13.183161452290376,rural,240.0,273.0,292.0,64.0,68.0,35.0,"$51,552",6,12107.865,,29.84419137192956,4.0
108,Todd,MN,138195096000.0,17674703.34,243205637.0,10525692.96,34732.9998,2617.0504,6640.0464,25475.903,7.5,19.1,73.3,7.5347664950346624,944.982,24895,5380,19515,78.4,26.344417142337107,rural,164.0,198.0,154.0,43.0,44.0,23.0,"$58,113",6,12107.865,1.0,19.117399719360808,2.0
109,Wabasha,MN,117245545000.0,13476887.9,205781470.0,8402589.399999999,30241.9997,8148.6558,13371.354,8721.9899,26.9,44.2,28.8,26.94483112177849,522.982,21676,7686,13990,64.5,41.446933164047714,rural,178.0,160.0,355.0,47.0,33.0,65.0,"$63,633",6,12107.865,2.0,44.21451709880089,4.0
110,Waseca,MN,118811080000.0,12959585.5,187710128.0,8960031.0,26698.0003,0.0,18181.092,8516.9083,0.0,68.1,31.9,0.0,423.356,19136,9537,9599,50.2,45.20072940976389,rural,176.0,148.0,377.0,46.0,30.0,80.0,"$58,335",6,12107.865,,68.09907745819405,3.0
111,Watonwan,MN,72045757000.0,7857749.5,110241750.0,5123874.3,15642.0,0.0,7411.732,8230.268,0.0,47.4,52.6,0.0,434.94699999999995,11211,4585,6626,59.1,25.775554262933184,rural,232.0,205.0,373.0,61.0,47.0,76.0,"$51,962",6,12107.865,,47.383531744098825,2.0
112,Wilkin,MN,36424942000.0,4863539.16,64918084.4,2884724.81,9175.0,0.0,1234.5591,7940.4409,0.0,13.5,86.5,0.0,750.957,6576,3279,3297,50.1,8.7568262896544,rural,302.0,305.0,287.0,77.0,78.0,33.0,"$61,387",6,12107.865,,13.45568552684365,1.0
113,Yellow Medicine,MN,53904179100.0,7100187.862000002,102226657.2,4792604.146000002,14562.99998,281.5612799999999,8778.7767,5502.661999999998,1.9,60.3,37.8,1.9334016478359008,759.1010000000001,10438,2002,8436,80.8,13.750475891877365,rural,260.0,272.0,285.0,70.0,67.0,31.0,"$56,528",6,12107.865,,60.281375400055396,4.0
114,Benton,MN,205423360000.0,22727823.9,357214428.0,12735055.9,53646.999,24053.534,12301.516,17291.949,44.8,22.9,32.2,44.83668135727903,408.301,38451,23066,15385,40.0,94.17317126335718,suburban,121.0,90.0,381.0,27.0,14.0,83.0,"$61,341",6,21197.18,,22.93048333853297,4.0
115,Blue Earth,MN,311348716000.0,34186335.2,583123846.0,19683653.2,89310.9997,51469.883,34374.148,3466.9687,57.6,38.5,3.9,57.629947913771105,747.8430000000001,64013,46798,17215,26.9,85.59672872952116,suburban,92.0,97.0,290.0,16.0,16.0,34.0,"$58,132",6,21197.18,9.0,38.48814644989193,5.0
116,Clay MN,MN,350462364000.0,34191211.0,546487480.0,19480405.1,82315.0,38256.051,23585.841,20473.108,46.5,28.7,24.9,46.47518809011678,1045.366,58999,42527,16472,27.9,56.4386061915157,suburban,87.0,127.0,121.0,15.0,25.0,19.0,"$58,356",6,21197.18,1.0,28.653150498103553,3.0
117,Freeborn,MN,199998939000.0,15509215.1,278306539.0,8025120.800000003,43607.0,32678.514,10928.486,0.0,74.9,25.1,0.0,74.93868876564649,707.087,31255,17868,13387,42.8,44.20248144853461,suburban,129.0,151.0,305.0,30.0,31.0,41.0,"$52,010",6,21197.18,6.0,63.2353717313559,6.0
118,Goodhue,MN,276441691000.0,22109298.4,406379767.0,10581467.9,64434.0,54120.753,10313.247,0.0,84.0,16.0,0.0,83.99409220159082,756.8380000000001,46183,24457,21726,47.0,61.02098467571658,suburban,101.0,123.0,286.0,17.0,23.0,32.0,"$67,039",6,21197.18,5.0,33.758098523453725,3.0
119,Kandiyohi,MN,259133792000.0,22113370.5,381867657.0,12187657.78,58932.0002,37519.044,18544.172,2868.7842,63.7,31.5,4.9,63.66497622060661,796.785,42239,23432,18807,44.5,53.0117911356263,suburban,105.0,133.0,272.0,19.0,27.0,29.0,"$60,579",6,21197.18,2.0,31.46706709656594,5.0
120,Lyon,MN,167267404200.0,13929974.9,236217403.0,8120055.460000001,36076.0,19994.406000000006,14550.185,1531.409,55.4,40.3,4.2,55.42301194734418,714.559,25857,13464,12393,47.9,36.18595525352001,suburban,143.0,176.0,298.0,36.0,36.0,37.0,"$57,690",6,21197.18,1.0,40.332035633905974,3.0
121,McLeod,MN,226852886000.0,18671372.7,329262650.0,10177093.6,51135.0,34815.98,16319.02,0.0,68.1,31.9,0.0,68.08639834499806,491.471,36651,19588,17063,46.6,74.57408473745144,suburban,116.0,104.0,362.0,24.0,19.0,69.0,"$61,959",6,21197.18,2.0,65.62842933879975,6.0
122,Mower,MN,189263411000.0,20848592.6,357221140.0,12293791.5,54640.0,30715.78,23924.22,0.0,56.2,43.8,0.0,56.21482449723118,711.329,39163,25103,14060,35.9,55.05609921709927,suburban,136.0,129.0,302.0,32.0,26.0,40.0,"$53,387",6,21197.18,5.0,49.06322376950277,7.0
123,Nicollet,MN,159885906000.0,17010781.6,293929606.0,8755296.7,45659.9999,31691.279,8807.0994,5161.6215,69.4,19.3,11.3,69.40709376635016,448.494,32727,24358,8369,25.6,72.97087586456006,suburban,149.0,106.0,368.0,38.0,20.0,73.0,"$66,209",6,21197.18,2.0,19.288435045495472,2.0
124,Nobles,MN,105873011000.0,11599101.5,195384684.0,6677644.75,29826.0002,16518.296000000002,11053.903,2253.8012,55.4,37.1,7.6,55.382202477781355,715.1060000000001,21378,12616,8762,41.0,29.894868732747305,suburban,186.0,187.0,297.0,49.0,40.0,36.0,"$55,766",6,21197.18,1.0,37.06129909535135,4.0
125,Pennington,MN,74267980000.0,8804961.3,130632271.0,4609927.2,19435.0,7774.0,0.0,11661.0,40.0,0.0,60.0,40.0,616.57,13930,8883,5047,36.2,22.59273075238821,suburban,227.0,218.0,329.0,60.0,50.0,50.0,"$57,494",6,21197.18,,0.0,0.0
126,Rice,MN,379546730000.0,33779580.0,582859840.0,19555379.9,89490.0,52955.60400000001,36534.396,0.0,59.2,40.8,0.0,59.174884255437746,495.684,64142,47507,16635,25.9,129.40098933998271,suburban,81.0,76.0,361.0,14.0,12.0,68.0,"$67,024",6,21197.18,2.0,49.52702582362442,2.0
127,St. Louis,MN,1269767236000.0,119112646.1,1849391672.0,61237737.9,279354.001,141831.03,10092.581,127430.39,50.8,3.6,45.6,50.771076531564894,6247.401,200226,125913,74313,37.1,32.04948745886489,suburban,36.0,184.0,6.0,6.0,38.0,1.0,"$53,833",6,21197.18,18.0,3.6128285721964297,8.0
128,Stearns,MN,964809632000.0,82870143.1,1387915050.0,50608526.5,210174.9934,102013.92,102743.9,5417.1734,48.5,48.9,2.6,48.537611163209114,1343.132,150642,95005,55637,36.9,112.15717281907305,suburban,41.0,80.0,77.0,8.0,13.0,14.0,"$60,843",6,21197.18,2.0,48.88493034043146,19.0
129,Steele,MN,165633169000.0,18170915.8,325815503.0,9425046.8,51031.0,38088.079,12942.921,0.0,74.6,25.4,0.0,74.6371397642733,429.645,36576,25394,11182,30.6,85.13074747756869,suburban,144.0,98.0,376.0,37.0,17.0,79.0,"$65,323",6,21197.18,5.0,37.04638312033425,2.0
130,Stevens,MN,58709861000.0,5049165.6,87944317.0,2849769.9000000013,13570.0,8558.1987,5011.8013,0.0,63.1,36.9,0.0,63.067050023016634,563.604,9726,5123,4603,47.3,17.256797325781932,suburban,251.0,249.0,344.0,67.0,60.0,57.0,"$61,929",6,21197.18,3.0,64.3490382073977,5.0
131,Washington MN,MN,1706135100000.0,106646710.0,2051263000.0,42927751.0,332246.0,332246.0,0.0,0.0,100.0,0.0,0.0,100.0,384.282,238136,203682,34454,14.5,619.6907479403147,suburban,29.0,24.0,383.0,5.0,5.0,84.0,"$54,332",6,21197.18,12.0,77.71997596103292,15.0
132,Winona,MN,255807783000.0,27975151.9,470002343.0,15890422.6,71797.9995,40321.749,24451.844,7024.4065,56.2,34.1,9.8,56.15998960165409,626.206,51461,33689,17772,34.5,82.1790273488277,suburban,106.0,101.0,328.0,20.0,18.0,49.0,"$56,076",6,21197.18,1.0,34.05644195448291,4.0
133,Brown MN,MN,140666311000.0,15337933.6,238949940.0,7652178.8,36126.0,18554.286,0.0,17571.714,51.4,0.0,48.6,51.35992439043293,611.09,25893,16846,9047,34.9,42.37182739040076,suburban,160.0,157.0,330.0,42.0,32.0,51.0,"$47,097",5,7545.805,1.0,25.11225157298409,1.0
134,Koochiching,MN,76866718000.0,8186641.199999997,124598011.0,4232738.1,18571.0,7428.4,0.0,11142.6,40.0,0.0,60.0,40.0,3104.07,13311,7055,6256,47.0,4.288240922401879,suburban,226.0,346.0,27.0,59.0,84.0,2.0,"$46,281",5,7545.805,,0.0,0.0
135,Polk MN,MN,204291887000.0,19308452.5,295058270.0,9923030.0,44088.0,18521.205,0.0,25566.795,42.0,0.0,58.0,42.00962921155236,1971.128,31600,16282,15318,48.5,16.03142971942969,suburban,124.0,256.0,44.0,29.0,63.0,8.0,"$46,017",5,7545.805,,14.882349028540814,3.0
136,Carver,MN,443013980000.0,48760537.0,827276110.0,28055901.0,127021.0,76380.636,50640.364,0.0,60.1,39.9,0.0,60.13229017901639,354.325,91042,73901,17141,18.8,256.944895223312,suburban,75.0,45.0,387.0,11.0,7.0,86.0,"$104,248",8,9256.91,2.0,94.1619803034092,7.0
137,Scott,MN,763933610000.0001,59383454.00000001,1120375400.0000002,23903205.00000001,181275.00000000003,181275.0,2.1153013e-11,0.0,100.0,0.0,0.0,100.0,356.476,129928,107529,22399,17.2,364.478955104972,suburban,52.0,37.0,386.0,10.0,6.0,85.0,"$101,427",8,9256.91,8.0,83.47021569999939,8.0
138,Chisago,MN,262738283000.0,29027294.6,499582700.0,18584589.0,75183.0,31120.715,44062.285,0.0,41.4,58.6,0.0,41.393287352294045,414.86199999999997,53887,23932,29955,55.6,129.8913855691772,rural,104.0,73.0,380.0,18.0,11.0,82.0,"$82,814",7,11748.915,2.0,86.17959462977592,10.0
139,Dodge,MN,115786285300.0,13841778.13,195607166.0,8326613.64,28024.9999,2412.9165,6609.1264,19002.957,8.6,23.6,67.8,8.60987156556021,439.276,20087,9689,10398,51.8,45.727515275134536,rural,181.0,145.0,371.0,48.0,28.0,74.0,"$75,955",7,11748.915,,23.58296667941901,2.0
140,Dakota,MN,2827851700000.0,171393510.0,3425962400.0,68989828.0,556057.0,556057.0,0.0,0.0,100.0,0.0,0.0,100.0,562.168,398552,378900,19652,4.9,708.9553300792645,suburban,19.0,22.0,345.0,3.0,4.0,58.0,"$86,403",7,11640.255,29.0,88.11587704435698,26.0
141,Olmsted,MN,1011133128000.0,63497313.7,1249060656.0,27285844.7,201254.00300000003,190228.17,11025.833,0.0,94.5,5.5,0.0,94.521433925443,653.349,144248,120313,23935,16.6,220.78246082874543,suburban,39.0,52.0,320.0,7.0,8.0,46.0,"$76,001",7,11640.255,13.0,83.73078957825406,19.0
142,Sherburne,MN,416223250000.0,42000957.0,785234450.0,21554312.8,123473.0,93793.736,29679.264,0.0,76.0,24.0,0.0,75.9629520452445,432.917,88499,49389,39110,44.2,204.4248666603529,suburban,76.0,55.0,374.0,12.0,9.0,77.0,"$81,850",7,11640.255,3.0,69.03425919964452,10.0
143,Wright,MN,835134971000.0,56548634.3,1090083300.0,26207198.5,173981.003,151982.71,21998.293,0.0,87.4,12.6,0.0,87.3559223471942,661.457,124700,84163,40537,32.5,188.52321466096814,suburban,50.0,58.0,318.0,9.0,10.0,45.0,"$87,377",7,11640.255,6.0,79.84584172822822,11.0
144,Ramsey,MN,3644168600000.0015,227788870.0000001,4381334400.000001,91690257.00000006,709651.0000000001,709651.0,1.6777465e-10,0.0,100.0,0.0,0.0,100.0,152.21200000000002,508640,507688,952,0.2,3341.655060047827,urban,14.0,3.0,397.0,2.0,1.0,87.0,"$62,937",6,10225.91,74.0,100.0,27.0
145,Anderson,TX,203286679000.0,15512755.3,336311335.0,11652843.87,49759.0004,5115.5414,0.0,44643.459,10.3,0.0,89.7,10.280635446434372,1062.6019999999999,58458,19254,39204,67.1,55.014012772420905,rural,126.0,130.0,113.0,60.0,68.0,56.0,"$45,969",5,11839.385,1.0,0.0,0.0
146,Baylor,TX,17251356000.0,1364008.6,29038190.0,1041227.9,4228.0,0.0,0.0,4228.0,0.0,0.0,100.0,0.0,867.482,3726,0,3726,100.0,4.29518998665102,rural,357.0,345.0,249.0,215.0,208.0,178.0,"$41,180",5,11839.385,,0.0,0.0
147,Bosque,TX,95579423800.0,7550235.66,161324782.9,5745185.037000001,23566.00002,496.88802,0.0,23069.112,2.1,0.0,97.9,2.1084953764250534,982.9780000000001,18212,3421,14791,81.2,18.527372942222517,rural,204.0,245.0,142.0,107.0,141.0,79.0,"$48,460",5,11839.385,,0.0,0.0
148,Briscoe,TX,7960594900.0,629418.34,13399600.0,480472.02,1951.0,0.0,0.0,1951.0,0.0,0.0,100.0,0.0,900.0010000000001,1637,0,1637,100.0,1.81888686790348,rural,380.0,376.0,216.0,236.0,232.0,147.0,"$44,409",5,11839.385,,0.0,0.0
149,Camp,TX,72079224160.0,5692403.486000001,121399613.4,4338650.5430000005,17703.99974,181.27074,0.0,17522.729,1.0,0.0,99.0,1.0238971112936899,195.826,12401,4777,7624,61.5,63.32662669921257,rural,231.0,118.0,395.0,126.0,62.0,252.0,"$43,714",5,11839.385,,0.0,0.0
150,Cass TX,TX,135112320000.0,10667850.0,227106400.0,8143397.4,33067.0,0.0,0.0,33067.0,0.0,0.0,100.0,0.0,936.9630000000001,30464,7917,22547,74.0,32.51355709883955,rural,167.0,183.0,159.0,83.0,104.0,91.0,"$48,651",5,11839.385,,0.0,0.0
151,Cherokee,TX,201718480000.0,15926768.0,339062770.0,12157838.0,49368.0,0.0,0.0,49368.0,0.0,0.0,100.0,0.0,1052.913,50845,18788,32057,63.0,48.28983971135317,rural,128.0,138.0,116.0,61.0,74.0,59.0,"$43,483",5,11839.385,,0.0,0.0
152,Cochran,TX,12021062000.0,949128.02,20205855.0,724525.21,2942.0,0.0,0.0,2942.0,0.0,0.0,100.0,0.0,775.15,3127,0,3127,100.0,4.034057924272721,rural,368.0,351.0,280.0,225.0,212.0,204.0,"$42,873",5,11839.385,,0.0,0.0
153,Coke,TX,12300385000.0,1495312.2,31833494.0,1141459.7,4635.0,0.0,0.0,4635.0,0.0,0.0,100.0,0.0,911.47,3320,0,3320,100.0,3.6424676621282095,rural,367.0,356.0,191.0,224.0,217.0,122.0,"$44,804",5,11839.385,,0.0,0.0
154,Coleman,TX,44492637000.0,3512935.1,74786390.0,2681629.8,10889.0,0.0,0.0,10889.0,0.0,0.0,100.0,0.0,1261.9460000000001,8895,4310,4585,51.5,7.048637580371902,rural,282.0,318.0,87.0,158.0,186.0,34.0,"$39,484",5,11839.385,,0.0,0.0
155,Collingsworth,TX,13360694310.0,1056932.615,22590832.27,804015.5537,3300.999987,75.892287,0.0,3225.1077,2.3,0.0,97.7,2.299069597999376,918.441,3057,0,3057,100.0,3.3284663903288285,rural,365.0,360.0,180.0,222.0,219.0,111.0,"$39,536",5,11839.385,,0.0,0.0
156,Colorado,TX,113511462000.0,9005115.299999999,198475881.0,6663213.33,29781.9996,5710.2516,0.0,24071.748,19.2,0.0,80.8,19.17349948498323,960.2739999999999,20874,7804,13070,62.6,21.73754574215276,rural,183.0,224.0,147.0,93.0,128.0,82.0,"$48,258",5,11839.385,2.0,0.0,0.0
157,Concho,TX,9134396000.0,1110434.6,23639889.0,847660.02,3442.0,0.0,0.0,3442.0,0.0,0.0,100.0,0.0,983.799,4087,0,4087,100.0,4.15430387711311,rural,376.0,348.0,141.0,232.0,210.0,78.0,"$40,987",5,11839.385,,0.0,0.0
158,Cottle,TX,4309778900.0,523923.83,11153742.0,399941.86,1624.0,0.0,0.0,1624.0,0.0,0.0,100.0,0.0,900.563,1505,0,1505,100.0,1.6711768082854837,rural,392.0,378.0,211.0,248.0,234.0,142.0,"$38,304",5,11839.385,,0.0,0.0
159,Crosby,TX,15009920000.0,1824700.2,38845791.0,1392900.9,5656.0,0.0,0.0,5656.0,0.0,0.0,100.0,0.0,900.198,6059,0,6059,100.0,6.730741459101219,rural,363.0,319.0,215.0,221.0,187.0,146.0,"$37,911",5,11839.385,,0.0,0.0
160,Culberson,TX,6026537570.0,714015.609,15279423.2,542592.6871,2235.00001,66.52920999999999,0.0,2168.4708,3.0,0.0,97.0,2.976698417270844,3812.798,2398,0,2398,100.0,0.6289344465665373,rural,387.0,394.0,18.0,243.0,249.0,5.0,"$42,164",5,11839.385,2.0,0.0,0.0
161,Delta,TX,26680846000.0,2109567.7,44910295.0,1610357.0,6539.0,0.0,0.0,6539.0,0.0,0.0,100.0,0.0,256.825,5231,0,5231,100.0,20.36795483305753,rural,329.0,234.0,391.0,193.0,132.0,248.0,"$44,410",5,11839.385,,0.0,0.0
162,Dickens,TX,11065676000.0,874926.98,18626200.0,667883.2,2712.0,0.0,0.0,2712.0,0.0,0.0,100.0,0.0,901.7239999999999,2444,0,2444,100.0,2.710363703306111,rural,372.0,366.0,209.0,229.0,224.0,140.0,"$39,627",5,11839.385,,0.0,0.0
163,Donley,TX,9052128000.0,1100433.6,23426979.0,840025.66,3411.0,0.0,0.0,3411.0,0.0,0.0,100.0,0.0,926.8860000000001,3677,0,3677,100.0,3.967046648670926,rural,377.0,352.0,168.0,233.0,213.0,100.0,"$40,945",5,11839.385,,0.0,0.0
164,Duval,TX,48006612000.0,3790382.4,80692928.0,2893421.7,11749.0,0.0,0.0,11749.0,0.0,0.0,100.0,0.0,1793.481,11782,3883,7899,67.0,6.569347542572237,rural,273.0,323.0,48.0,152.0,191.0,13.0,"$35,156",5,11839.385,,0.0,0.0
165,Eastland,TX,73723766000.0,7325531.5,162904781.0,5375311.95,24626.9997,5866.6357,0.0,18760.364,23.8,0.0,76.2,23.821966679949664,926.4910000000001,18583,7369,11214,60.3,20.05739937031229,rural,228.0,237.0,169.0,123.0,134.0,101.0,"$44,773",5,11839.385,2.0,0.0,0.0
166,Edwards,TX,7780955500.0,945901.89,20137175.0,722062.51,2932.0,0.0,0.0,2932.0,0.0,0.0,100.0,0.0,2117.8579999999997,2002,0,2002,100.0,0.9452947270308018,rural,381.0,390.0,40.0,237.0,245.0,12.0,"$37,812",5,11839.385,,0.0,0.0
167,Falls,TX,73123357000.0,5773485.7,122910940.0,4407241.0,17896.0,0.0,0.0,17896.0,0.0,0.0,100.0,0.0,765.4830000000001,17866,5832,12034,67.4,23.339512438551864,rural,230.0,217.0,283.0,125.0,123.0,207.0,"$37,428",5,11839.385,,0.0,0.0
168,Fisher,TX,18531109165.0,1465366.4872,31224307.79,1117717.6296,4550.000033,23.899333,0.0,4526.1007,0.5,0.0,99.5,0.52526007384811,898.941,3974,0,3974,100.0,4.420757313327571,rural,351.0,341.0,220.0,210.0,205.0,151.0,"$45,261",5,11839.385,,0.0,0.0
169,Floyd,TX,28047734000.0,2217643.1,47211098.0,1692857.3,6874.0,0.0,0.0,6874.0,0.0,0.0,100.0,0.0,992.143,6446,3009,3437,53.3,6.497047300641137,rural,322.0,325.0,138.0,188.0,193.0,75.0,"$39,891",5,11839.385,,0.0,0.0
