,state,county,census_area,efuels_area
136,MN,Pope,669.7130000000001,0.00022005874734938092
137,MN,Ramsey,152.21200000000002,1.0
138,MN,Rice,495.684,0.5917488425543775
139,MN,Rock,482.455,0.1521718556237698
140,MN,Roseau,1671.602,0.0
141,MN,Sherburne,432.917,0.759629520452445
142,MN,Sibley,588.779,0.02856235698719161
143,MN,Winona,626.206,0.5615998960165409
144,MN,Waseca,423.356,0.0
145,TX,Grimes,787.459,0.11739472521535112
146,TX,Hale,1004.683,0.4
147,TX,Hall,883.492,0.0
148,TX,Hardin,890.567,0.15824147198103142
149,TX,Harris,1703.4779999999998,1.0
150,TX,Harrison,899.951,0.19118558888973966
151,TX,Hemphill,906.2860000000001,0.4
152,TX,Henderson,873.748,0.08573755418483303
153,TX,Hopkins,767.174,0.1399373453592538
154,TX,Houston TX,1230.9089999999999,0.0
155,TX,Hutchinson,887.419,0.4
156,TX,Jasper,938.845,0.10473114002302779
157,TX,Jeff Davis,2264.555,0.04891276755322363
158,TX,Kenedy,1458.329,0.0
159,TX,Kent,902.507,0.0
160,TX,King,910.872,0.0
161,TX,Kleberg,881.308,0.540740584090733
162,TX,Lamar,907.19,0.4
163,TX,Lee,629.016,0.17492194120260007
164,TX,Leon,1073.151,0.0
165,TX,Lipscomb,932.179,0.0
166,TX,Loving,668.925,0.0
167,TX,McMullen,1139.4260000000002,0.0
168,TX,Madison,466.065,0.23474991905990614
169,TX,Matagorda,1100.276,0.5251983351252393
170,TX,Menard,902.03,0.0
171,TX,Mills,748.2610000000001,0.0
172,TX,Montgomery,1041.735,0.895435178159758
173,TX,Moore,899.691,0.5287658672609417
174,TX,Morris,251.985,0.0
175,TX,Nacogdoches,946.5369999999999,0.5130848465915223
176,TX,Navarro,1009.627,0.10388521258740774
177,TX,Nueces,838.482,0.7438787691887733
178,TX,Hill,958.8639999999999,0.112559991508067
179,TX,Hockley,908.3919999999999,0.4
180,TX,Hood,420.64099999999996,0.7901862634673907
181,TX,Howard,900.791,0.5226151180598544
182,TX,Hudspeth,4570.983,0.005117026329945295
183,TX,Hunt,840.318,0.15432815626364038
184,TX,Irion,1051.563,0.0
185,TX,Jack,910.6619999999999,0.0
186,TX,Parker,903.4780000000001,0.17620111107617636
187,TX,Pecos,4763.847,0.427159562702904
188,TX,Polk TX,1057.093,0.0
189,TX,Rains,229.452,0.0
190,TX,Reagan,1175.3010000000002,0.49415383564336407
191,TX,Red River,1036.578,0.0
192,TX,Refugio,770.444,0.0
193,TX,San Augustine,530.6569999999999,0.016145236237716493
194,TX,San Jacinto,569.243,0.0
195,TX,San Patricio,693.451,0.5251311750649307
196,TX,San Saba,1135.297,0.4
197,TX,Shelby,795.5830000000001,0.0
198,TX,Smith,921.454,0.6870373302508014
199,TX,Somervell,186.463,0.0
200,TX,Sutton,1453.9260000000002,0.4
201,TX,Terrell,2358.026,0.0
202,TX,Throckmorton,912.552,0.0
203,TX,Travis,990.202,1.0
204,TX,Trinity TX,693.6080000000001,0.0
205,TX,Tyler,924.5010000000001,0.0
206,TX,Van Zandt,842.557,0.13148066412478981
207,TX,Victoria,882.143,0.6136416086400089
208,TX,Waller,513.43,0.367685911708161
209,TX,Ward,835.602,0.5493510451046393
210,TX,Wharton,1086.15,0.5056060993364236
211,TX,Williamson,1118.303,0.730094077405296
212,TX,Winkler,841.107,0.40303501664984265
213,TX,Wood,645.234,0.0
214,TX,Zavala,1297.406,0.4
215,TX,Gregg,273.303,0.8541768543474474
216,TX,Hamilton,835.914,0.08370403003073495
217,TX,Hansford,919.81,0.4
218,TX,Hardeman,695.1139999999999,0.0
219,TX,Hartley,1462.033,0.0
220,TX,Haskell,903.1310000000001,0.4
221,TX,Hays,677.9780000000001,1.0
222,TX,Hidalgo,1570.865,0.5526127118375076
223,TX,Anderson,1062.6019999999999,0.10280635446434372
224,TX,Andrews,1500.713,0.40010231389351014
225,TX,Angelina,797.778,0.537040447657026
226,TX,Aransas,252.074,0.6265150880072947
227,TX,Armstrong,909.1089999999999,0.0
228,TX,Austin,646.508,0.13653927743615557
229,TX,Baylor,867.482,0.0
230,TX,Bee,880.2389999999999,0.4
231,TX,Bexar,1239.82,0.9074122959555169
232,TX,Bosque,982.9780000000001,0.021084953764250534
233,TX,Bowie,885.0060000000001,0.48477972045027146
234,TX,Brazoria,1357.701,0.6741253403382393
235,TX,Brazos,585.445,0.9025118284216563
236,TX,Burleson,659.0260000000001,0.039602092853606136
237,TX,Caldwell,545.257,0.42545887485254597
238,TX,Calhoun,506.84,0.4
239,TX,Camp,195.826,0.010238971112936899
240,TX,Cass TX,936.9630000000001,0.0
241,TX,Chambers,597.137,0.44779368387521756
242,TX,Cherokee,1052.913,0.0
243,TX,Cochran,775.15,0.0
244,TX,Coleman,1261.9460000000001,0.0
245,TX,Comal,559.476,0.8156267486342063
246,TX,Cottle,900.563,0.0
247,TX,Crane,785.069,0.4
248,TX,Crockett,2807.327,0.4419784042046717
249,TX,Dallas,871.279,1.0
250,TX,Delta,256.825,0.0
251,TX,Dickens,901.7239999999999,0.0
252,TX,Dimmit,1328.884,0.4
253,TX,Ector,897.687,0.5606487645361915
254,TX,Floyd,992.143,0.0
255,TX,Foard,704.3969999999999,0.0
256,TX,Fort Bend,861.4810000000001,0.7785046774714672
257,TX,Freestone,877.7389999999999,0.0
258,TX,Galveston,378.358,0.7636762396470786
259,TX,Glasscock,900.2180000000001,0.0
260,TX,Goliad,852.0139999999999,0.0
261,TX,Lynn,891.867,0.0
262,TX,McCulloch,1065.598,0.4
263,TX,McLennan,1037.101,0.6014661342705161
264,TX,Marion,380.88,0.0
265,TX,Martin TX,914.944,0.00963694178577181
266,TX,Mason,928.803,0.0
267,TX,Maverick,1279.258,0.44324025198014
268,TX,Jackson TX,829.435,0.12405179379149706
269,TX,Jefferson,876.295,0.6429663295139382
270,TX,Jim Hogg,1136.138,0.4
271,TX,Jim Wells,864.966,0.4
272,TX,Johnson,724.692,0.6245308516098366
273,TX,Jones,928.554,0.0
274,TX,Karnes,747.556,0.4
275,TX,Kaufman,780.699,0.47999917440737844
276,TX,Kendall,662.453,0.2460682431147637
