,state,county,census_area,e85_area
134,MN,Pine,1411.289,0.133591245514544
135,MN,Pipestone,465.055,0.40438785187832105
136,MN,Pope,669.7130000000001,0.33317746473144977
137,MN,Ramsey,152.21200000000002,1.0
138,MN,Rice,495.684,0.49527025823624415
139,MN,Rock,482.455,0.3315810200367
140,MN,Roseau,1671.602,0.0
141,MN,Sherburne,432.917,0.6903425919964452
142,MN,Sibley,588.779,0.32133597509530487
143,MN,Winona,626.206,0.3405644195448291
144,MN,Waseca,423.356,0.6809907745819405
145,TX,Grimes,787.459,0.0
146,TX,Hale,1004.683,0.0
147,TX,Hall,883.492,0.0
148,TX,Hardin,890.567,0.0
149,TX,Harris,1703.4779999999998,0.8752012515042259
150,TX,Harrison,899.951,0.0
151,TX,Hemphill,906.2860000000001,0.0
152,TX,Henderson,873.748,0.0
153,TX,Hopkins,767.174,0.0
154,TX,Houston_TX,1230.9089999999999,0.0
155,TX,Hutchinson,887.419,0.0
156,TX,Jasper,938.845,0.0
157,TX,Jeff Davis,2264.555,0.0
158,TX,Kenedy,1458.329,0.0
159,TX,Kent,902.507,0.0
160,TX,King,910.872,0.0
161,TX,Kleberg,881.308,0.0
162,TX,Lamar,907.19,0.0
163,TX,Lee,629.016,0.0
164,TX,Leon,1073.151,0.0
165,TX,Lipscomb,932.179,0.0
166,TX,Loving,668.925,0.0
167,TX,McMullen,1139.4260000000002,0.0
168,TX,Madison,466.065,0.0
169,TX,Matagorda,1100.276,0.09825016326035006
170,TX,Menard,902.03,0.0
171,TX,Mills,748.2610000000001,0.0
172,TX,Montgomery,1041.735,0.5991638740036539
173,TX,Moore,899.691,0.0
174,TX,Morris,251.985,0.0
175,TX,Nacogdoches,946.5369999999999,0.0
176,TX,Navarro,1009.627,0.0
177,TX,Nueces,838.482,0.22929183702941824
178,TX,Hill,958.8639999999999,0.0
179,TX,Hockley,908.3919999999999,0.0
180,TX,Hood,420.64099999999996,0.28014121273128806
181,TX,Howard,900.791,0.0
182,TX,Hudspeth,4570.983,0.0
183,TX,Hunt,840.318,0.0
184,TX,Irion,1051.563,0.0
185,TX,Jack,910.6619999999999,0.0
186,TX,Parker,903.4780000000001,0.1575080361855002
187,TX,Pecos,4763.847,0.0
188,TX,Polk_TX,1057.093,0.08444176695788942
189,TX,Rains,229.452,0.0
190,TX,Reagan,1175.3010000000002,0.0
191,TX,Red River,1036.578,0.0
192,TX,Refugio,770.444,0.0
193,TX,San Augustine,530.6569999999999,0.0
194,TX,San Jacinto,569.243,0.06932961991949013
195,TX,San Patricio,693.451,0.16290751778676704
196,TX,San Saba,1135.297,0.0
197,TX,Shelby,795.5830000000001,0.0
198,TX,Smith,921.454,0.0
199,TX,Somervell,186.463,0.0
200,TX,Sutton,1453.9260000000002,0.0
201,TX,Terrell,2358.026,0.0
202,TX,Throckmorton,912.552,0.0
203,TX,Travis,990.202,0.5058124594627229
204,TX,Trinity_TX,693.6080000000001,0.013010358382216597
205,TX,Tyler,924.5010000000001,0.0
206,TX,Van Zandt,842.557,0.0
207,TX,Victoria,882.143,0.0
208,TX,Waller,513.43,0.04738937490604227
209,TX,Ward,835.602,0.021416036420825214
210,TX,Wharton,1086.15,0.0
211,TX,Williamson,1118.303,0.17723241044682933
212,TX,Winkler,841.107,0.0
213,TX,Wood,645.234,0.0
214,TX,Zavala,1297.406,0.0
215,TX,Gregg,273.303,0.0
216,TX,Hamilton,835.914,0.0
217,TX,Hansford,919.81,0.0
218,TX,Hardeman,695.1139999999999,0.0
219,TX,Hartley,1462.033,0.0
220,TX,Haskell,903.1310000000001,0.0
221,TX,Hays,677.9780000000001,0.45822178061490243
222,TX,Hidalgo,1570.865,0.16064866591551794
223,TX,Anderson,1062.6019999999999,0.0
224,TX,Andrews,1500.713,0.0
225,TX,Angelina,797.778,0.0
226,TX,Aransas,252.074,0.0
227,TX,Armstrong,909.1089999999999,0.0
228,TX,Austin,646.508,0.025440978237876992
229,TX,Baylor,867.482,0.0
230,TX,Bee,880.2389999999999,0.0
