,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,household_income,annual_vmt
18,Mendocino,CA,135832890000.0,24286921.0,528450690.0,10377478.0,89279.0,89279.0,0.0,0.0,100.0,0.0,0.0,67.43521955880166,3506.343,87841,48110,39731,45.2,25.052027140527898,suburban,164.0,207.0,21.0,40.0,44.0,15.0,"$51,386",6,"$50,000 to $74,999",10577.93
19,Merced,CA,704723780000.0,53618984.00000002,1166676900.0000002,22910679.00000001,197104.00000000003,197104.0,0.0,2.3280316e-11,100.0,0.0,0.0,74.36909553011473,1934.972,255793,219283,36510,14.3,132.1946777524429,suburban,53.0,72.0,45.0,23.0,25.0,25.0,"$56,169",6,"$50,000 to $74,999",10577.93
20,Mono,CA,43398636800.0,3780073.56,72002512.8,1560441.15,11887.0003,10667.214,0.0,1219.7863,89.7,0.0,10.3,49.738485002402285,3048.982,14202,7693,6509,45.8,4.657948128260514,suburban,283.0,338.0,28.0,50.0,53.0,19.0,"$66,499",6,"$50,000 to $74,999",10577.93
21,Monterey,CA,499920240000.0,89385739.0,1944913300.0,38193338.0,328583.0,328583.0,0.0,0.0,100.0,0.0,0.0,82.56596268046064,3280.595,415057,374315,40742,9.8,126.51881747061128,suburban,64.0,77.0,24.0,27.0,26.0,17.0,"$69,665",6,"$50,000 to $74,999",10577.93
22,Nevada,CA,259130010000.0,19715934.0,428992170.0,8424356.6,72476.0,72476.0,0.0,0.0,100.0,0.0,0.0,86.31184632202607,957.771,98764,57150,41614,42.1,103.11848748971572,suburban,102.0,86.0,149.0,35.0,31.0,44.0,"$66,681",6,"$50,000 to $74,999",10577.93
23,Plumas,CA,25952409400.0,10058090.19,106466700.2,3697381.55,14943.9996,1565.7496,0.0,13378.25,10.5,0.0,89.5,10.477446523765249,2553.042,20007,5197,14810,74.0,7.836530759568093,rural,330.0,311.0,34.0,53.0,50.0,22.0,"$55,079",6,"$50,000 to $74,999",10577.93
24,Riverside,CA,7592872700000.0,479065430.0,10423818000.0,204698290.0,1761050.0,1761050.0,0.0,0.0,100.0,0.0,0.0,75.77942830440705,7206.48,2189641,2088429,101212,4.6,303.84334654366626,suburban,5.0,42.0,4.0,3.0,17.0,4.0,"$66,793",6,"$50,000 to $74,999",10577.93
25,Sacramento,CA,4164772900000.0,262772580.0,5717577300.0,112279230.0,965955.0,965955.0,0.0,0.0,100.0,0.0,0.0,100.0,964.643,1418788,1389531,29257,2.1,1470.789223796551,urban,11.0,11.0,146.0,7.0,6.0,43.0,"$69,475",6,"$50,000 to $74,999",10577.93
26,San Bernardino,CA,5566500640000.0,499507394.0,9661317600.0,212687577.0,1596697.955,1435118.1,67939.166,93640.689,89.9,4.3,5.9,49.88037468834082,20056.938,2035210,1938853,96357,4.7,101.47162044375865,suburban,8.0,88.0,1.0,4.0,32.0,1.0,"$63,310",6,"$50,000 to $74,999",10577.93
27,San Joaquin,CA,2413093900000.0,152251970.0,3312797900.0,65055244.0,559680.0,559680.0,0.0,0.0,100.0,0.0,0.0,98.07382297552991,1391.322,685306,627241,58065,8.5,492.55743817750306,suburban,25.0,29.0,72.0,13.0,12.0,33.0,"$63,567",6,"$50,000 to $74,999",10577.93
28,San Luis Obispo,CA,1033330000000.0,65197022.0,1418599400.0,27857821.0,239665.0,239665.0,0.0,0.0,100.0,0.0,0.0,81.03023236321043,3298.567,269637,224887,44750,16.6,81.74367839125293,suburban,40.0,102.0,23.0,21.0,34.0,16.0,"$70,626",6,"$50,000 to $74,999",10577.93
29,Shasta,CA,460712519000.0,31585729.9,653371243.0,13315126.9,109466.0021,105431.51,1.1247949000000001e-13,4034.4921,96.3,0.0,3.7,56.31438790099796,3775.402,177223,125321,51902,29.3,46.94149126371178,suburban,70.0,142.0,19.0,31.0,38.0,13.0,"$53,908",6,"$50,000 to $74,999",10577.93
30,Sierra,CA,10621278900.0,1645043.8199999996,17856121.8,607089.145,2531.00004,395.66904,0.0,2135.331,15.6,0.0,84.4,15.632913523717878,953.214,3240,9,3231,99.7,3.3990268711957654,rural,372.0,359.0,150.0,57.0,55.0,45.0,"$52,308",6,"$50,000 to $74,999",10577.93
31,Stanislaus,CA,1493387000000.0,113624510.0,2472316300.0,48550242.0,417685.0,417685.0,0.0,0.0,100.0,0.0,0.0,82.70381806645229,1494.827,514453,473396,41057,8.0,344.15554442085937,suburban,34.0,38.0,63.0,17.0,15.0,30.0,"$59,616",6,"$50,000 to $74,999",10577.93
32,Sutter,CA,91763279418.0,16327840.420999998,342118745.99,6908504.2857,57442.000442,55869.694,24.935742,1547.3707,97.3,0.0,2.7,57.26279308212226,602.41,94737,80718,14019,14.8,157.26332564200462,suburban,206.0,62.0,333.0,43.0,21.0,53.0,"$57,879",6,"$50,000 to $74,999",10577.93
33,Tuolumne,CA,264492650000.0,16687924.0,363106750.0,7130528.1,61345.0,61345.0,0.0,0.0,100.0,0.0,0.0,64.46797376942149,2220.884,55365,28255,27110,49.0,24.929262401818374,suburban,100.0,209.0,38.0,34.0,45.0,23.0,"$56,500",6,"$50,000 to $74,999",10577.93
34,Yolo,CA,528692110000.0,33357350.0,725811000.0,14253152.0,122622.0,122622.0,0.0,0.0,100.0,0.0,0.0,100.0,1014.689,200849,186931,13918,6.9,197.9414382140735,suburban,60.0,56.0,129.0,26.0,19.0,41.0,"$67,804",6,"$50,000 to $74,999",10577.93
35,Del Norte,CA,59495235340.0,4589147.379,119233581.55,1956369.779,20285.00023,20180.545,0.0,104.45523,99.5,0.0,0.5,59.48506171139954,1006.373,28610,18976,9634,33.7,28.428823110317943,suburban,246.0,194.0,132.0,47.0,43.0,42.0,"$48,518",5,"$35,000 to $49,999",10180.84
36,Glenn,CA,51677263830.0,4649894.677,101702732.07,1913299.58,16884.999553999998,14990.233999999999,97.637054,1797.1285,88.8,0.6,10.6,48.77840929833884,1313.947,28122,16628,11494,40.9,21.402689758414912,suburban,264.0,227.0,81.0,48.0,47.0,36.0,"$47,365",5,"$35,000 to $49,999",10180.84
37,Humboldt,CA,144591160000.0,25852900.0,678139020.0,11046600.0,115509.0,115509.0,0.0,0.0,100.0,0.0,0.0,62.11694417532952,3567.987,134623,94561,40062,29.8,37.7307989070588,suburban,151.0,169.0,20.0,39.0,42.0,14.0,"$49,471",5,"$35,000 to $49,999",10180.84
38,Imperial,CA,491705643200.0,47101800.1,978736969.0,19394899.6,160948.9975,135629.75,4262.8615,21056.386000000002,84.3,2.6,13.1,44.26877619301831,4176.603,174528,144129,30399,17.4,41.7870695395277,suburban,65.0,159.0,14.0,28.0,40.0,10.0,"$46,633",5,"$35,000 to $49,999",10180.84
