,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,household_income,annual_vmt
84,Goodhue,MN,266068180000.0001,20682488.000000004,397810900.00000006,8325176.800000004,64434.00000000001,64434.0,1.0485916e-11,0.0,100.0,0.0,0.0,83.99409220159082,756.838,46183,24457,21726,47.0,61.02098467571659,suburban,98.0,123.0,286.0,17.0,23.0,32.0,"$67,039",6,"$50,000 to $74,999",14738.56
85,Grant,MN,37216109000.0,4335997.5,59291634.0,2694174.59,8396.0,0.0,2531.6021,5864.3979,0.0,30.2,69.8,0.0,548.16,6018,0,6018,100.0,10.978546409807356,rural,299.0,284.0,350.0,76.0,71.0,62.0,"$54,917",6,"$50,000 to $74,999",14738.56
86,Hubbard,MN,144398024490.0,15249781.478,201596440.6,8809427.166000001,28500.99974,296.51174,1302.1860000000001,26902.302000000003,1.0,4.6,94.4,1.040355577742986,925.675,20428,3398,17030,83.4,22.068220487752182,rural,153.0,221.0,171.0,39.0,51.0,24.0,"$55,687",6,"$50,000 to $74,999",14738.56
87,Isanti,MN,235166544000.0,22102602.200000007,353794725.0,13764377.4,52761.001,19714.564,25766.958,7279.479,37.4,48.8,13.8,37.365788229127,435.794,37816,14270,23546,62.3,86.77494412497647,rural,107.0,95.0,372.0,21.0,15.0,75.0,"$73,468",6,"$50,000 to $74,999",14738.56
88,Itasca,MN,190753766000.0,33806834.6,445286836.0,19536316.71,62865.0,0.0,2551.0570000000002,60313.943,0.0,4.1,95.9,0.0,2667.722,45058,9285,35773,79.4,16.890065756476872,rural,129.0,252.0,32.0,29.0,61.0,3.0,"$53,143",6,"$50,000 to $74,999",14738.56
89,Kanabec,MN,97102992500.0,11551792.680000003,158933831.4,6963939.89,22657.0002,1326.0785,5085.2777,16245.643999999998,5.9,22.4,71.7,5.852842203410928,521.586,16239,3670,12569,77.4,31.133887796068144,rural,199.0,186.0,356.0,53.0,39.0,66.0,"$56,950",6,"$50,000 to $74,999",14738.56
90,Kandiyohi,MN,302625020000.0,18916416.0,363841950.0,7614292.4,58932.0,58932.0,0.0,0.0,100.0,0.0,0.0,63.664976220606604,796.785,42239,23432,18807,44.5,53.011791135626304,suburban,92.0,133.0,272.0,16.0,27.0,29.0,"$60,579",6,"$50,000 to $74,999",14738.56
91,Kittson,MN,27069569500.0,3367816.93,44937998.6,1996238.28,6351.00004,0.0,839.3952400000001,5511.6048,0.0,13.2,86.8,0.0,1098.803,4552,0,4552,100.0,4.142686047739179,rural,325.0,350.0,106.0,83.0,85.0,18.0,"$54,438",6,"$50,000 to $74,999",14738.56
92,Lac qui Parle,MN,34848549770.0,5120276.306,71277855.9,3246876.924,10127.99995,194.63085,3877.6837,6055.6854,1.9,38.3,59.8,1.921710563642926,765.021,7259,0,7259,100.0,9.488628416736272,rural,306.0,298.0,284.0,78.0,74.0,30.0,"$52,445",6,"$50,000 to $74,999",14738.56
93,Lake of the Woods,MN,23585641100.0,2992665.6989999996,39742574.3,1695013.2950000004,5644.00002,278.17092,0.0,5365.8291,4.9,0.0,95.1,0.0,1297.869,4045,0,4045,100.0,3.1166473657973186,rural,334.0,363.0,83.0,85.0,87.0,16.0,"$52,058",6,"$50,000 to $74,999",14738.56
94,Le Sueur,MN,142842975000.0,17362337.299999993,264758822.0,11338910.0,38650.9997,8074.7562,21699.132999999998,8877.1105,20.9,56.1,23.0,20.891454723343642,448.76,27703,10483,17220,62.2,61.73232908458865,rural,155.0,121.0,367.0,40.0,22.0,72.0,"$67,269",6,"$50,000 to $74,999",14738.56
95,Lincoln,MN,26918784900.0,4350572.43,58193481.7,2591052.8,8226.0,0.0,1228.1479,6997.8521,0.0,14.9,85.1,0.0,536.757,5896,0,5896,100.0,10.984486462216609,rural,326.0,283.0,352.0,84.0,70.0,63.0,"$51,305",6,"$50,000 to $74,999",14738.56
96,Lyon,MN,183595048500.0,11808371.53,224102547.0,5022431.08,36076.0002,34424.806000000004,1651.1942,0.0,95.4,4.6,0.0,55.423011947344186,714.559,25857,13464,12393,47.9,36.18595525352001,suburban,130.0,176.0,298.0,30.0,36.0,37.0,"$57,690",6,"$50,000 to $74,999",14738.56
97,McLeod,MN,179260932000.0,23210085.7,352516360.0,15709924.2,51134.9997,7791.2495,33559.097,9784.6532,15.2,65.6,19.1,68.08639834499806,491.471,36651,19588,17063,46.6,74.57408473745144,suburban,133.0,104.0,362.0,32.0,19.0,69.0,"$61,959",6,"$50,000 to $74,999",14738.56
98,Marshall,MN,54267312580.0,7117857.2,93314948.1,4075408.5939999996,13169.000223,0.0,94.284223,13074.716,0.0,0.7,99.3,0.0,1775.068,9439,0,9439,100.0,5.317542764558879,rural,256.0,332.0,49.0,69.0,82.0,10.0,"$58,105",6,"$50,000 to $74,999",14738.56
99,Meeker,MN,142206493500.0,16281123.56,227614359.0,10078021.53,32508.0001,2088.6291,10382.693000000001,20036.678,6.4,31.9,61.6,6.424969539762776,608.178,23300,8034,15266,65.5,38.31115232711476,rural,157.0,165.0,331.0,41.0,35.0,52.0,"$66,557",6,"$50,000 to $74,999",14738.56
100,Mille Lacs,MN,134299239000.0,17551630.5,253046369.0,11117125.98,36409.9992,4079.7232,15307.043,17023.233,11.2,42.0,46.8,11.204952402281663,572.31,26097,7614,18483,70.8,45.59941290559313,rural,169.0,146.0,342.0,44.0,29.0,56.0,"$53,289",6,"$50,000 to $74,999",14738.56
101,Morrison,MN,227741226600.0,24204941.48,326794253.1,14488364.81,46317.99989,841.9313900000001,8217.3665,37258.702000000005,1.8,17.7,80.4,1.8177196650473737,1125.062,33198,9024,24174,72.8,29.507707130807017,rural,112.0,190.0,102.0,22.0,41.0,17.0,"$57,471",6,"$50,000 to $74,999",14738.56
102,Mower,MN,163389608200.0,17824871.84,339061844.0,7512222.689999999,54639.9999,52571.78,2068.2199,0.0,96.2,3.8,0.0,56.21482449723118,711.329,39163,25103,14060,35.9,55.056099217099266,suburban,143.0,129.0,302.0,36.0,26.0,40.0,"$53,387",6,"$50,000 to $74,999",14738.56
103,Murray,MN,55644116700.0,6330295.1,86008113.0,3885425.1,12173.0,0.0,3135.6907,9037.3093,0.0,25.8,74.2,0.0,704.702,8725,0,8725,100.0,12.381119962764403,rural,253.0,278.0,306.0,68.0,69.0,42.0,"$59,938",6,"$50,000 to $74,999",14738.56
104,Nicollet,MN,134490750000.0,14656275.0,281901570.0,5899487.4,45660.0,45660.0,0.0,0.0,100.0,0.0,0.0,69.40709376635016,448.494,32727,24358,8369,25.6,72.97087586456006,suburban,167.0,106.0,368.0,43.0,20.0,73.0,"$66,209",6,"$50,000 to $74,999",14738.56
105,Nobles,MN,89482470100.0,9764310.03,185287936.1,4154981.07,29826.0003,28448.696,1377.3043,0.0,95.4,4.6,0.0,55.38220247778135,715.106,21378,12616,8762,41.0,29.89486873274731,suburban,211.0,187.0,297.0,56.0,40.0,36.0,"$55,766",6,"$50,000 to $74,999",14738.56
106,Otter Tail,MN,252750677000.0,42067227.1,565369770.0,25285207.5,79949.0,0.0,14581.698999999999,65367.301,0.0,18.2,81.8,0.0,1972.068,57303,15134,42169,73.6,29.057314453659814,rural,104.0,193.0,43.0,20.0,43.0,7.0,"$53,778",6,"$50,000 to $74,999",14738.56
107,Pennington,MN,91290498000.0,7093911.0,123537622.0,3210704.9,19435.0,15548.0,0.0,3887.0,80.0,0.0,20.0,40.0,616.57,13930,8883,5047,36.2,22.59273075238821,suburban,207.0,218.0,329.0,54.0,50.0,50.0,"$57,494",6,"$50,000 to $74,999",14738.56
108,Pine,MN,174153443000.0,19965637.5,285229475.0,11380563.6,41507.0002,9268.1844,5544.9718,26693.843999999997,22.3,13.4,64.3,22.329208202573128,1411.289,29750,3183,26567,89.3,21.08001975498994,rural,138.0,229.0,70.0,35.0,53.0,13.0,"$50,387",6,"$50,000 to $74,999",14738.56
109,Pipestone,MN,53681848000.0,6098425.2,91516952.0,3774549.59,13388.0,3194.1905,5413.9446,4779.8649,23.9,40.4,35.7,23.85860882156148,465.055,9596,4098,5498,57.3,20.63411854511832,rural,258.0,232.0,366.0,71.0,54.0,71.0,"$55,378",6,"$50,000 to $74,999",14738.56
110,Pope,MN,51241589752.0,7881691.956799999,108286627.33700001,4940646.256519999,15340.0000012,3.3757012000000004,5110.9423,10225.681999999999,0.0,33.3,66.7,0.02200587473493809,669.713,10995,0,10995,100.0,16.417480323661028,rural,267.0,255.0,315.0,73.0,62.0,44.0,"$60,975",6,"$50,000 to $74,999",14738.56
111,Ramsey,MN,3644168600000.001,227788870.0000001,4381334400.000001,91690257.00000006,709651.0000000001,709651.0,1.6777465e-10,0.0,100.0,0.0,0.0,100.0,152.212,508640,507688,952,0.2,3341.6550600478276,urban,15.0,3.0,397.0,2.0,1.0,87.0,"$62,937",6,"$50,000 to $74,999",14738.56
112,Red Lake,MN,18483007900.0,2970948.68,40312766.9,1818955.11,5705.0,0.0,1418.3006,4286.6994,0.0,24.9,75.1,0.0,432.407,4089,0,4089,100.0,9.456368652681386,rural,348.0,299.0,375.0,87.0,75.0,78.0,"$54,412",6,"$50,000 to $74,999",14738.56
113,Redwood,MN,87452795000.0,10409496.8,154731846.0,6784123.84,22404.9997,3362.4766,11907.553,7134.9701,15.0,53.1,31.8,15.007706174622571,878.572,16059,4958,11101,69.1,18.278524696894507,rural,213.0,247.0,241.0,58.0,58.0,25.0,"$56,760",6,"$50,000 to $74,999",14738.56
114,Renville,MN,83133503000.0,10104880.4,151224580.0,6587460.35,21946.0005,3648.8052,11824.829,6472.3663,16.6,53.9,29.5,16.62628831541507,982.906,15730,0,15730,100.0,16.003564939068436,rural,218.0,257.0,143.0,60.0,64.0,22.0,"$59,787",6,"$50,000 to $74,999",14738.56
115,Rice,MN,457928273100.0,28827297.82,553118348.8,11724073.61,89490.00008000001,88751.604,738.39608,0.0,99.2,0.8,0.0,59.17488425543775,495.684,64142,47507,16635,25.9,129.40098933998271,suburban,71.0,76.0,361.0,11.0,12.0,68.0,"$67,024",6,"$50,000 to $74,999",14738.56
116,Rock,MN,60390847000.0,6493769.08,93531362.0,3982393.36,13515.0,2056.6026,4481.3175,6977.0799,15.2,33.2,51.6,15.217185562376981,482.455,9687,4620,5067,52.3,20.07855654931548,rural,242.0,236.0,364.0,66.0,56.0,70.0,"$63,503",6,"$50,000 to $74,999",14738.56
117,Roseau,MN,90039680000.0,11798386.0,154522020.0,6741934.9,21805.0,0.0,0.0,21805.0,0.0,0.0,100.0,0.0,1671.602,15629,2763,12866,82.3,9.349713628004752,rural,210.0,300.0,52.0,55.0,76.0,11.0,"$60,239",6,"$50,000 to $74,999",14738.56
118,St. Louis,MN,1404401254000.0,148573350.6,1971546730.0,85329420.5,279353.9997,7979.0087,10092.581,261282.41,2.9,3.6,93.5,50.77107653156489,6247.401,200226,125913,74313,37.1,32.049487458864895,suburban,35.0,184.0,6.0,6.0,38.0,1.0,"$53,833",6,"$50,000 to $74,999",14738.56
119,Sibley,MN,109086119999.99997,6818730.599999999,131152760.0,2744695.799999999,21243.0,21243.0,-2.7974349999999998e-12,0.0,100.0,-0.0,0.0,2.856235698719161,588.779,15226,0,15226,100.0,25.860297327180486,rural,182.0,201.0,337.0,49.0,45.0,53.0,"$66,209",6,"$50,000 to $74,999",14738.56
120,Stearns,MN,892110280000.0,70796417.0,1317621700.0,32426151.4,210174.996,186083.92,24091.076,0.0,88.5,11.5,0.0,48.5376111632091,1343.132,150642,95005,55637,36.9,112.15717281907304,suburban,44.0,80.0,77.0,8.0,13.0,14.0,"$60,843",6,"$50,000 to $74,999",14738.56
121,Steele,MN,150310940000.0,16380297.0,315061740.0,6593446.0,51031.0,51031.0,0.0,0.0,100.0,0.0,0.0,74.63713976427329,429.645,36576,25394,11182,30.6,85.13074747756869,suburban,149.0,98.0,376.0,37.0,17.0,79.0,"$65,323",6,"$50,000 to $74,999",14738.56
122,Stevens,MN,69684068000.0,4355796.0,83780208.0,1753308.0,13570.0,13570.0,0.0,0.0,100.0,0.0,0.0,63.06705002301662,563.604,9726,5123,4603,47.3,17.256797325781932,suburban,228.0,249.0,344.0,62.0,60.0,57.0,"$61,929",6,"$50,000 to $74,999",14738.56
123,Swift,MN,65992512000.0,7052276.3,96391186.0,4378166.5,13649.0,0.0,4073.4337,9575.5663,0.0,29.8,70.2,0.0,742.083,9783,3191,6592,67.4,13.183161452290376,rural,236.0,273.0,292.0,64.0,68.0,35.0,"$51,552",6,"$50,000 to $74,999",14738.56
124,Todd,MN,138195096000.0,17674703.34,243205637.0,10525692.96,34732.9998,2617.0504,6640.0464,25475.903,7.5,19.1,73.3,7.5347664950346624,944.982,24895,5380,19515,78.4,26.344417142337104,rural,161.0,198.0,154.0,42.0,44.0,23.0,"$58,113",6,"$50,000 to $74,999",14738.56
125,Wabasha,MN,117245545000.0,13476887.9,205781470.0,8402589.399999999,30241.9997,8148.6558,13371.354,8721.9899,26.9,44.2,28.8,26.94483112177849,522.982,21676,7686,13990,64.5,41.446933164047714,rural,176.0,160.0,355.0,47.0,33.0,65.0,"$63,633",6,"$50,000 to $74,999",14738.56
126,Waseca,MN,118811080000.0,12959585.5,187710128.0,8960031.0,26698.0003,0.0,18181.092,8516.9083,0.0,68.1,31.9,0.0,423.356,19136,9537,9599,50.2,45.20072940976389,rural,175.0,148.0,377.0,46.0,30.0,80.0,"$58,335",6,"$50,000 to $74,999",14738.56
127,Watonwan,MN,72045757000.0,7857749.5,110241750.0,5123874.3,15642.0,0.0,7411.732,8230.268,0.0,47.4,52.6,0.0,434.946,11211,4585,6626,59.1,25.775554262933188,rural,224.0,205.0,373.0,61.0,47.0,76.0,"$51,962",6,"$50,000 to $74,999",14738.56
128,Wilkin,MN,36424942000.0,4863539.16,64918084.4,2884724.81,9175.0,0.0,1234.5591,7940.4409,0.0,13.5,86.5,0.0,750.957,6576,3279,3297,50.1,8.7568262896544,rural,300.0,305.0,287.0,77.0,78.0,33.0,"$61,387",6,"$50,000 to $74,999",14738.56
129,Winona,MN,214743666000.0,23427668.6,445566428.0,9879816.93,71797.99969999999,69040.94900000001,2757.0507,0.0,96.2,3.8,0.0,56.15998960165409,626.206,51461,33689,17772,34.5,82.1790273488277,suburban,117.0,101.0,328.0,25.0,18.0,49.0,"$56,076",6,"$50,000 to $74,999",14738.56
130,Yellow Medicine,MN,53904179100.0,7100187.862000001,102226657.2,4792604.146000001,14562.99998,281.56127999999995,8778.7767,5502.661999999999,1.9,60.3,37.8,1.9334016478359015,759.101,10438,2002,8436,80.8,13.750475891877363,rural,257.0,272.0,285.0,70.0,67.0,31.0,"$56,528",6,"$50,000 to $74,999",14738.56
131,Carver,MN,381831630000.0,41610513.0,785056950.0,16749188.0,127021.0,127021.0,0.0,0.0,100.0,0.0,0.0,60.132290179016394,354.325,91042,73901,17141,18.8,256.94489522331196,suburban,82.0,45.0,387.0,14.0,7.0,86.0,"$104,248",8,"$100,000 to $124,999",13134.35
132,Scott,MN,743721188000.0,61745561.2,1134323060.0,27638531.7,181275.00100000002,164545.27,16729.731,0.0,90.8,9.2,0.0,100.0,356.476,129928,107529,22399,17.2,364.478955104972,suburban,50.0,37.0,386.0,10.0,6.0,85.0,"$101,427",8,"$100,000 to $124,999",13134.35
133,Anderson,TX,203286679000.0,15512755.3,336311335.0,11652843.87,49759.0004,5115.5414,0.0,44643.459,10.3,0.0,89.7,10.280635446434372,1062.601,58458,19254,39204,67.1,55.01401277242091,rural,123.0,130.0,113.0,60.0,68.0,56.0,"$45,969",5,"$35,000 to $49,999",11466.85
134,Angelina,TX,334962275000.0,18360193.5,482023076.0,11174285.3,82085.9998,76917.902,0.0,5168.0978,93.7,0.0,6.3,53.7040447657026,797.778,86771,49388,37383,43.1,108.76584714043256,suburban,89.0,82.0,271.0,42.0,41.0,197.0,"$46,653",5,"$35,000 to $49,999",11466.85
135,Aransas,TX,69001577000.0,5642795.7,150942500.0,3347074.3,26001.0,26001.0,0.0,-3.0295537e-13,100.0,0.0,-0.0,62.651508800729474,252.074,23158,16845,6313,27.3,91.86984774312305,suburban,231.0,92.0,392.0,122.0,46.0,249.0,"$46,912",5,"$35,000 to $49,999",11466.85
136,Bailey,TX,26700613400.0,1557914.7999999996,39368575.8,995933.56,6542.0,5233.6,0.0,1308.4,80.0,0.0,20.0,40.0,826.797,7165,5105,2060,28.8,8.66597242128358,suburban,328.0,307.0,266.0,192.0,179.0,193.0,"$45,051",5,"$35,000 to $49,999",11466.85
137,Baylor,TX,17251356000.0,1364008.6,29038190.0,1041227.9,4228.0,0.0,0.0,4228.0,0.0,0.0,100.0,0.0,867.482,3726,0,3726,100.0,4.29518998665102,rural,355.0,345.0,249.0,213.0,208.0,178.0,"$41,180",5,"$35,000 to $49,999",11466.85
138,Bee,TX,69475100000.0,5627020.5,142195055.0,3597204.8,23629.0,18903.2,0.0,4725.8,80.0,0.0,20.0,40.0,880.238,31861,18168,13693,43.0,36.19585135400727,suburban,230.0,175.0,240.0,121.0,98.0,171.0,"$41,806",5,"$35,000 to $49,999",11466.85
139,Bosque,TX,95579423800.0,7550235.66,161324782.9,5745185.0370000005,23566.00002,496.88802000000004,0.0,23069.112,2.1,0.0,97.9,2.1084953764250534,982.978,18212,3421,14791,81.2,18.52737294222251,rural,204.0,245.0,142.0,109.0,141.0,79.0,"$48,460",5,"$35,000 to $49,999",11466.85
140,Bowie,TX,339040764000.0,19817468.4,512557646.0,12301956.0,86468.0001,76505.133,0.0,9962.8671,88.5,0.0,11.5,48.477972045027144,885.006,92565,59774,32791,35.4,104.59251123721194,suburban,88.0,84.0,235.0,41.0,42.0,166.0,"$47,339",5,"$35,000 to $49,999",11466.85
141,Brewster,TX,40928773900.0,2568344.66,64902184.0,1641874.56,10785.0,8628.0,0.0,2157.0,80.0,0.0,20.0,40.0,6183.733,9232,6013,3219,34.9,1.4929493236528808,suburban,293.0,382.0,7.0,167.0,237.0,1.0,"$45,670",5,"$35,000 to $49,999",11466.85
142,Briscoe,TX,7960594900.0,629418.34,13399600.0,480472.02,1951.0,0.0,0.0,1951.0,0.0,0.0,100.0,0.0,900.001,1637,0,1637,100.0,1.81888686790348,rural,379.0,376.0,216.0,235.0,232.0,147.0,"$44,409",5,"$35,000 to $49,999",11466.85
143,Cameron,TX,857721894000.0,70115187.28,1871188626.0,41725472.53,321873.0036,319395.68,0.0,2477.3236,99.2,0.0,0.8,59.23034128389543,890.922,406220,372013,34207,8.4,455.9546178004359,suburban,47.0,31.0,228.0,16.0,13.0,159.0,"$38,106",5,"$35,000 to $49,999",11466.85
144,Camp,TX,72079224160.0,5692403.486000001,121399613.4,4338650.5430000005,17703.99974,181.27074,0.0,17522.729,1.0,0.0,99.0,1.0238971112936899,195.826,12401,4777,7624,61.5,63.32662669921257,rural,223.0,118.0,395.0,118.0,62.0,252.0,"$43,714",5,"$35,000 to $49,999",11466.85
145,Castro,TX,29990041200.0,1879642.49,47498650.0,1201605.57,7893.0,6314.4,0.0,1578.6,80.0,0.0,20.0,40.0,894.434,8062,4373,3689,45.8,9.013521400125667,suburban,319.0,301.0,225.0,185.0,176.0,156.0,"$45,689",5,"$35,000 to $49,999",11466.85
146,Cherokee,TX,201718480000.0,15926768.0,339062770.0,12157838.0,49368.0,0.0,0.0,49368.0,0.0,0.0,100.0,0.0,1052.913,50845,18788,32057,63.0,48.28983971135317,rural,125.0,138.0,116.0,61.0,74.0,59.0,"$43,483",5,"$35,000 to $49,999",11466.85
147,Childress,TX,17419401600.0,1421352.103,37516071.0,858812.5009999999,6409.99999,6123.6174,0.0,286.38259,95.5,0.0,4.5,55.53225284102218,696.405,7041,4707,2334,33.1,10.110496047558533,suburban,353.0,289.0,310.0,211.0,168.0,216.0,"$42,291",5,"$35,000 to $49,999",11466.85
148,Cochran,TX,12021062000.0,949128.02,20205855.0,724525.21,2942.0,0.0,0.0,2942.0,0.0,0.0,100.0,0.0,775.15,3127,0,3127,100.0,4.034057924272721,rural,367.0,351.0,280.0,224.0,212.0,204.0,"$42,873",5,"$35,000 to $49,999",11466.85
149,Coke,TX,12300385000.0,1495312.2,31833494.0,1141459.7,4635.0,0.0,0.0,4635.0,0.0,0.0,100.0,0.0,911.47,3320,0,3320,100.0,3.6424676621282104,rural,366.0,356.0,191.0,223.0,217.0,122.0,"$44,804",5,"$35,000 to $49,999",11466.85
150,Coleman,TX,44492637000.0,3512935.1,74786390.0,2681629.8,10889.0,0.0,0.0,10889.0,0.0,0.0,100.0,0.0,1261.946,8895,4310,4585,51.5,7.048637580371901,rural,279.0,318.0,87.0,156.0,186.0,34.0,"$39,484",5,"$35,000 to $49,999",11466.85
151,Collingsworth,TX,13360694310.0,1056932.615,22590832.27,804015.5537,3300.999987,75.892287,0.0,3225.1077,2.3,0.0,97.7,2.2990695979993765,918.441,3057,0,3057,100.0,3.328466390328829,rural,365.0,360.0,180.0,222.0,219.0,111.0,"$39,536",5,"$35,000 to $49,999",11466.85
152,Colorado,TX,113511462000.0,9005115.299999999,198475881.0,6663213.33,29781.9996,5710.2516,0.0,24071.748,19.2,0.0,80.8,19.17349948498323,960.273,20874,7804,13070,62.6,21.73754574215276,rural,181.0,224.0,147.0,93.0,128.0,82.0,"$48,258",5,"$35,000 to $49,999",11466.85
153,Concho,TX,9134396000.0,1110434.6,23639889.0,847660.02,3442.0,0.0,0.0,3442.0,0.0,0.0,100.0,0.0,983.799,4087,0,4087,100.0,4.15430387711311,rural,375.0,348.0,141.0,231.0,210.0,78.0,"$40,987",5,"$35,000 to $49,999",11466.85
154,Coryell,TX,171875996000.0,13967868.8,359656686.0,8720835.1,60501.0003,52566.560999999994,0.0,7934.4393,86.9,0.0,13.1,46.885441131961,1052.066,75388,60745,14643,19.4,71.65710136056103,suburban,140.0,109.0,117.0,68.0,55.0,60.0,"$48,099",5,"$35,000 to $49,999",11466.85
155,Cottle,TX,4309778900.0,523923.83,11153742.0,399941.86,1624.0,0.0,0.0,1624.0,0.0,0.0,100.0,0.0,900.563,1505,0,1505,100.0,1.6711768082854837,rural,392.0,378.0,211.0,248.0,234.0,142.0,"$38,304",5,"$35,000 to $49,999",11466.85
156,Crockett,TX,22891300000.0,1310867.59,33503703.7,826220.75,5609.00003,4722.6569,0.0,886.3431300000001,84.2,0.0,15.8,44.19784042046717,2807.327,3719,2873,846,22.7,1.3247477048452139,suburban,338.0,385.0,30.0,198.0,240.0,8.0,"$49,117",5,"$35,000 to $49,999",11466.85
157,Crosby,TX,15009920000.0,1824700.2,38845791.0,1392900.9,5656.0,0.0,0.0,5656.0,0.0,0.0,100.0,0.0,900.198,6059,0,6059,100.0,6.73074145910122,rural,361.0,319.0,215.0,219.0,187.0,146.0,"$37,911",5,"$35,000 to $49,999",11466.85
158,Culberson,TX,6026537570.0,714015.609,15279423.2,542592.6871,2235.00001,66.52920999999999,0.0,2168.4708,3.0,0.0,97.0,2.976698417270844,3812.798,2398,0,2398,100.0,0.6289344465665373,rural,386.0,394.0,18.0,242.0,249.0,5.0,"$42,164",5,"$35,000 to $49,999",11466.85
159,Dawson,TX,43319606300.0,2718373.12,68693411.0,1737783.83,11415.0,9132.0,0.0,2283.0,80.0,0.0,20.0,40.0,900.306,13833,11579,2254,16.3,15.364775976168103,suburban,285.0,261.0,212.0,160.0,149.0,143.0,"$43,726",5,"$35,000 to $49,999",11466.85
160,Deaf Smith,TX,55172601000.0,6707128.3,142787130.0,5119945.3,20790.0,0.0,0.0,20790.0,0.0,0.0,100.0,40.0,1496.868,19372,15941,3431,17.7,12.941688913117256,suburban,255.0,274.0,62.0,140.0,158.0,22.0,"$44,230",5,"$35,000 to $49,999",11466.85
161,Delta,TX,17353229000.0,1419108.5,37960579.0,841756.82,6539.0,6539.0,0.0,0.0,100.0,0.0,0.0,0.0,256.825,5231,0,5231,100.0,20.36795483305753,rural,354.0,234.0,391.0,212.0,132.0,248.0,"$44,410",5,"$35,000 to $49,999",11466.85
162,DeWitt,TX,74946901000.0,6070199.9,153394219.0,3880517.7,25490.0,20392.0,0.0,5098.0,80.0,0.0,20.0,40.0,908.975,20097,10124,9973,49.6,22.109518963667867,suburban,220.0,220.0,196.0,115.0,125.0,127.0,"$49,208",5,"$35,000 to $49,999",11466.85
163,Dickens,TX,11065676000.0,874926.98,18626200.0,667883.2,2712.0,0.0,0.0,2712.0,0.0,0.0,100.0,0.0,901.723,2444,0,2444,100.0,2.7103637033061116,rural,371.0,366.0,209.0,228.0,224.0,140.0,"$39,627",5,"$35,000 to $49,999",11466.85
164,Dimmit,TX,45126013500.0,2831728.0,71557893.0,1810248.6,11891.0,9512.8,0.0,2378.2,80.0,0.0,20.0,40.0,1328.884,9996,6050,3946,39.5,7.522101251877515,suburban,278.0,315.0,78.0,155.0,184.0,29.0,"$37,177",5,"$35,000 to $49,999",11466.85
165,Donley,TX,9052128000.0,1100433.6,23426979.0,840025.66,3411.0,0.0,0.0,3411.0,0.0,0.0,100.0,0.0,926.886,3677,0,3677,100.0,3.9670466486709257,rural,376.0,352.0,168.0,232.0,213.0,100.0,"$40,945",5,"$35,000 to $49,999",11466.85
166,Duval,TX,48006612000.0,3790382.4,80692928.0,2893421.7,11749.0,0.0,0.0,11749.0,0.0,0.0,100.0,0.0,1793.481,11782,3883,7899,67.0,6.569347542572238,rural,271.0,323.0,48.0,149.0,191.0,13.0,"$35,156",5,"$35,000 to $49,999",11466.85
167,Eastland,TX,73723766000.0,7325531.5,162904781.0,5375311.95,24626.9997,5866.6357,0.0,18760.363999999998,23.8,0.0,76.2,23.821966679949664,926.491,18583,7369,11214,60.3,20.057399370312282,rural,221.0,237.0,169.0,116.0,134.0,101.0,"$44,773",5,"$35,000 to $49,999",11466.85
168,Edwards,TX,7780955500.0,945901.89,20137175.0,722062.51,2932.0,0.0,0.0,2932.0,0.0,0.0,100.0,0.0,2117.857,2002,0,2002,100.0,0.945294727030802,rural,380.0,390.0,40.0,236.0,245.0,12.0,"$37,812",5,"$35,000 to $49,999",11466.85
169,El Paso,TX,1790331000000.0,146409290.0,3916389300.0,86843970.0,674628.0,674628.0,0.0,0.0,100.0,0.0,0.0,54.28698472199976,1012.693,800647,783238,17409,2.2,790.6117648685239,urban,28.0,17.0,130.0,11.0,7.0,70.0,"$43,948",5,"$35,000 to $49,999",11466.85
170,Erath,TX,163994540000.0,10125409.2,257127260.0,6433704.9,42866.0002,35076.192,0.0,7789.8082,81.8,0.0,18.2,41.82753660860389,1083.071,37890,20339,17551,46.3,34.98385609069027,suburban,142.0,178.0,109.0,69.0,100.0,52.0,"$47,087",5,"$35,000 to $49,999",11466.85
171,Falls,TX,73123357000.0,5773485.7,122910940.0,4407241.0,17896.0,0.0,0.0,17896.0,0.0,0.0,100.0,0.0,765.483,17866,5832,12034,67.4,23.339512438551868,rural,222.0,217.0,283.0,117.0,123.0,207.0,"$37,428",5,"$35,000 to $49,999",11466.85
172,Fisher,TX,18531109165.0,1465366.4872,31224307.79,1117717.6296,4550.000033,23.899333,0.0,4526.1007,0.5,0.0,99.5,0.5252600738481101,898.941,3974,0,3974,100.0,4.420757313327571,rural,347.0,341.0,220.0,206.0,205.0,151.0,"$45,261",5,"$35,000 to $49,999",11466.85
173,Floyd,TX,28047734000.0,2217643.1,47211098.0,1692857.3,6874.0,0.0,0.0,6874.0,0.0,0.0,100.0,0.0,992.143,6446,3009,3437,53.3,6.497047300641137,rural,323.0,325.0,138.0,189.0,193.0,75.0,"$39,891",5,"$35,000 to $49,999",11466.85
