ZIP Code,DMV ID,Vehicle Name,Registration Valid Date
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
21094,1,Chevrolet Volt,03/06/2019
19057,1,Ford Fusion Energi,03/06/2019
20619,1,Ford Fusion Energi,03/06/2019
20772,1,Ford Fusion Energi,03/06/2019
21152,1,Nissan Leaf,03/06/2019
23094,1,Chevrolet Bolt EV,03/06/2019
23094,1,Chevrolet Volt,03/06/2019
23666,1,Toyota Prius Prime,03/06/2019
28806,1,Ford C-Max Energi,03/06/2019
30009,1,Tesla Model 3,03/06/2019
30096,1,Ford C-Max Energi,03/06/2019
30101,1,Chevrolet Volt,03/06/2019
30340,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Focus EV,03/06/2019
30348,1,Ford Focus EV,03/06/2019
30348,1,Ford Focus EV,03/06/2019
30348,1,Ford Focus EV,03/06/2019
30348,1,Ford Focus EV,03/06/2019
30348,1,Ford C-Max Energi,03/06/2019
30348,1,Ford C-Max Energi,03/06/2019
30348,1,Ford C-Max Energi,03/06/2019
30348,1,Ford C-Max Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Ford Fusion Energi,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
30348,1,Toyota Prius Prime,03/06/2019
32255,1,BMW i8,03/06/2019
38153,1,Chevrolet Bolt EV,03/06/2019
38163,1,Chevrolet Volt,03/06/2019
43016,1,BMW i3,03/06/2019
43016,1,BMW i3,03/06/2019
43016,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i3,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
43026,1,BMW i8,03/06/2019
46278,1,Chevrolet Volt,03/06/2019
