,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
76,Dakota,2539726690000.0,188351874.0,3531321100.0,95806992.0,556057.0,428405.56,127651.44,0.0,77.0,23.0,0.0,MN
77,Dodge,115786285300.0,13841778.129999999,195607166.0,8326613.64,28024.9999,2412.9165,6609.1264,19002.957,8.6,23.6,67.8,MN
78,Douglas,176613338000.0,24672911.9,348148253.0,14520551.6,50240.0003,7751.9022,9847.8131,32640.285,15.4,19.6,65.0,MN
79,Faribault,103001281600.0,10883569.3,143782479.9,6326540.069999999,20304.0,0.0,1255.591,19048.409,0.0,6.2,93.8,MN
80,Fillmore,100568096700.0,14346283.0,201052802.0,8089166.220000001,29111.9999,5551.8853,2248.9556,21311.159,19.1,7.7,73.2,MN
81,Freeborn,162747519000.0,17987474.049999997,292864176.1,11810302.27,43607.000439999996,15235.714,27575.049,796.23744,34.9,63.2,1.8,MN
82,Goodhue,270976570000.0,26846931.5,428965960.0,15664073.3,64433.998999999996,28347.153,21751.693,14335.153,44.0,33.8,22.2,MN
83,Grant,37216109000.0,4335997.5,59291634.0,2694174.59,8396.0,0.0,2531.6021,5864.3979,0.0,30.2,69.8,MN
84,Hennepin,6221629520000.0,513568383.0,10017974260.0,227916962.0,1607855.97,1472523.8,135332.17,0.0,91.6,8.4,0.0,MN
85,Houston MN,89303568800.0,12911480.2,185163629.0,7247830.59,26545.9998,2171.0658,0.0,24374.934,8.2,0.0,91.8,MN
86,Hubbard,144398024490.0,15249781.478,201596440.6,8809427.166,28500.99974,296.51174,1302.186,26902.302,1.0,4.6,94.4,MN
87,Isanti,235166544000.0,22102602.200000003,353794725.0,13764377.399999999,52761.001,19714.564,25766.958,7279.479,37.4,48.8,13.8,MN
