,County,State,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,annual_ghg_m2,annual_operatingcost_m2,total_annualcost_m2,annual_fueluse_m2,total_vehicles_m2,vehicle_split_BEV_m2,vehicle_split_FFV_m2,vehicle_split_SIDI_m2
118,Pope,MN,0.0,33.3,66.7,76512759.57313056,11768.76058371272,161691.09355350723,7377.2589997805,22.905334077731798,0.005040519147754336,7.631541122839184,15.268752435744858
119,Ramsey,MN,100.0,0.0,0.0,23941401466.375835,1496523.7300607043,28784421.727590457,602385.2061598295,4662.2539615799005,4662.2539615799005,0.0,0.0
120,Red Lake,MN,0.0,24.9,75.1,42744469.67787293,6870.722906890962,93228.75647249004,4206.58109142544,13.193588447920593,0.0,3.2800130432671075,9.913575404653487
121,Redwood,MN,15.0,53.1,31.8,99539701.92539713,11848.200033691035,176117.43374475854,7721.761950073528,25.501609088384335,3.827206648971285,13.553303542566802,8.121098896846245
122,Renville,MN,16.6,53.9,29.5,84579301.58122954,10280.61727164144,153854.57001992053,6702.024761269135,22.327669685605745,3.7122626171780415,12.030477990774296,6.584929077653407
123,Rice,MN,19.2,49.5,31.3,674467410.689068,82757.60141541788,1240490.1106350012,53058.54112700833,180.53840753383204,34.61803084223013,89.41530289458606,56.50507379701584
124,Rock,MN,15.2,33.2,51.6,125174051.46593983,13459.84408908603,193865.4631001855,8254.434838482346,28.01297530339617,4.262786373858702,9.288570954804076,14.461617974733395
125,Roseau,MN,0.0,0.0,100.0,53864305.01997485,7058.131062298322,92439.48021119859,4033.217775523121,13.044373002664509,0.0,0.0,13.044373002664509
126,St. Louis,MN,10.8,3.6,85.6,221237875.71823868,23002.665172285244,312348.8314580735,13021.386269266211,44.7152350233321,4.816312095221677,1.6154847431756023,38.28343818493482
127,Scott,MN,73.5,26.5,0.0,1980293007.1028624,185601.1512696507,3255206.886298096,97125.87102638045,508.5195020141608,373.83478831674506,134.6847136974158,0.0
128,Sherburne,MN,36.0,64.0,0.0,1218942060.4873452,112174.53230064886,1907983.3778761288,73755.60142013365,285.21171494766895,102.57055278494491,182.64116216272407,0.0
129,Sibley,MN,2.9,32.1,65.0,122253802.70016424,18347.63420570367,253792.35672467938,11419.799079111175,36.079751910309305,1.0305227428288033,11.593722092669745,23.455507074810754
130,Stearns,MN,8.5,48.9,42.6,644228835.1190838,75475.67783681885,1090464.146141894,48945.3171800559,156.48115041473932,13.359752161550647,76.49570072360669,66.62569752958198
131,Steele,MN,34.6,37.0,28.3,475584717.615706,51615.27493628461,800560.206682261,31026.285188935053,118.7748024531881,41.140194811995954,44.00176890223324,33.63283873895891
132,Stevens,MN,23.1,64.3,12.6,86667001.47621378,10538.813138302776,164288.809163881,7045.81488066089,24.077188948268642,5.553897239906033,15.493439542657612,3.029852165704998
133,Swift,MN,0.0,29.8,70.2,88928747.86243585,9503.352455183582,129892.72898045093,5899.8339808350265,18.39282128818474,0.0,5.489188810416084,12.903632477768657
134,Todd,MN,7.5,19.1,73.3,146240982.36791813,18703.746039607104,257365.364631284,11138.511590696968,36.75519724185222,2.7694182534693783,7.026637967707321,26.959141020675524
135,Traverse,MN,0.0,0.0,100.0,40887256.01235055,4308.249492073561,60923.55315018942,2461.856728152194,8.649560377904244,0.0,0.0,8.649560377904244
136,Wabasha,MN,26.9,44.2,28.8,224186578.12314767,25769.31500510534,393477.156001545,16066.689484532926,57.82608139477076,15.581140077478768,25.56752240038854,16.677418916903452
137,Wadena,MN,4.8,0.0,95.2,162185725.98029342,17691.282549023996,252231.40743061304,10005.577864053048,36.015573724331865,1.7301772434678182,0.0,34.285396480864044
138,Waseca,MN,0.0,68.1,31.9,280641068.03730196,30611.555050595718,443386.01082776673,21164.294352743316,63.062765851907145,0.0,42.94516199132645,20.11760386058069
139,Washington MN,MN,63.0,37.0,0.0,3738670715.7764354,321820.5302356082,5603950.562347443,181760.6054928412,864.5890257675353,544.3911242264795,320.1979015410558,0.0
140,Watonwan,MN,0.0,47.4,52.6,165642611.62854326,18065.993098009643,253460.19170151764,11780.456699321985,35.963002388796795,0.0,17.040540571609874,18.92246181718692
141,Wilkin,MN,0.0,13.5,86.5,48504697.3395281,6476.454923517592,86447.1393168983,3841.39812266215,12.217743492636728,0.0,1.6439810801417392,10.57376241249499
142,Winona,MN,16.2,34.1,49.8,508927480.73317724,54768.273699070276,792409.9226133253,33630.33570422512,114.65555903328938,18.528326141876633,39.047604143045575,57.07962874836715
143,Wright,MN,47.4,52.6,0.0,1025095176.2548435,99468.16648701276,1734840.2995206038,61723.21103261437,263.02692389679146,124.55882544141191,138.4680984553796,0.0
144,Yellow Medicine,MN,1.9,60.3,37.8,71010549.45257613,9353.416557217024,134668.05761025212,6313.526323901562,19.18453536485922,0.37091412078234637,11.564701798574893,7.24891944550198
145,Anderson,TX,10.3,0.0,89.7,191310273.27258936,14598.838793828732,316497.9314926943,10966.32969823132,46.82750493599673,4.814165040156145,0.0,42.01333989584059
146,Andrews,TX,0.0,0.0,100.0,23923416.663479295,5913.556874012554,104208.63682729474,4514.131463730907,15.017528233712909,0.0015365017828192335,0.0,15.01599173193009
147,Angelina,TX,13.7,0.0,86.3,420342584.0271354,31705.842352133048,691691.8553783132,23682.0995314486,102.89328610214872,14.100541754723743,0.0,88.79274434742497
148,Aransas,TX,22.7,0.0,77.3,388002491.33191043,30809.90225092632,683597.2135166657,22655.985662940246,103.14828106032355,23.364642128898655,0.0,79.7836389314249
149,Archer,TX,2.8,0.0,97.2,79653602.77264121,6274.569382467253,91394.27478380264,4781.603501234623,13.057102645303452,0.3603846375303119,0.0,12.696718007773141
150,Armstrong,TX,0.0,0.0,100.0,4834584.081776773,1460.2932101651177,20950.30518892674,1114.7276069206223,2.9776407449491753,0.0,0.0,2.9776407449491753
151,Atascosa,TX,0.0,9.7,90.3,239224392.47784415,19348.085021942625,291354.3701580262,14900.60973609808,41.55651653404879,0.0,4.047661584985864,37.50885494906293
152,Austin,TX,13.7,2.5,83.8,361845883.42294294,28212.199632487147,444149.18794508337,21389.378909464383,64.84065208783186,8.853295705544246,1.6496095949315397,54.33774678735607
153,Bailey,TX,0.0,0.0,100.0,32330453.545428924,2552.664680689456,54343.326112697556,1948.5989910461697,7.9124621884211,0.0,0.0,7.9124621884211
154,Bandera,TX,14.1,0.3,85.7,202220502.907223,16015.370722450287,249677.9826818263,12112.971427162653,36.44806697928217,5.125842740666101,0.10296564053094906,31.219258598085116
155,Bastrop,TX,18.5,13.3,68.2,263014795.92411193,42900.71767156449,742629.6222484941,32762.47537015144,109.87220627146316,20.303221302707875,14.595524404661374,74.97346056409391
156,Baylor,TX,0.0,0.0,100.0,19886701.971914116,1572.3768331792478,33474.11243115131,1200.2876140369483,4.873876345561061,0.0,0.0,4.873876345561061
157,Bee,TX,0.0,0.0,100.0,109684406.16696149,8660.178883235123,184365.34850194099,6610.823537698286,26.84384581914685,0.0,0.0,26.84384581914685
158,Bell,TX,36.3,37.7,26.0,933511326.1834263,78515.89033849152,1918350.890947426,61130.068619316924,296.8280197447042,107.64443167373284,111.99681070507013,77.18677736590118
159,Bexar,TX,65.7,34.3,0.0,4909100837.218307,218790.14695681632,7925826.007001016,162114.22303237568,1302.7076349792712,856.4160120017422,446.291622977529,0.0
160,Blanco,TX,18.5,0.0,81.5,49428773.313255794,11740.342930697308,187986.74667402648,8846.365996635886,27.675675287197333,5.122614279007007,0.0011097243712028602,22.55195128381912
161,Borden,TX,0.0,0.0,100.0,1930386.8880809143,583.0761953683967,8365.186089812947,445.09633480900743,1.1889334475838578,0.0,0.0,1.1889334475838578
