county,median_household_income_2018,household_income_ID
Mitchell,"$48,529",5
Modoc,"$45,227",5
Mono,"$66,499",6
Montague,"$50,542",6
Monterey,"$69,665",6
Montgomery,"$77,598",7
Moore,"$53,785",6
Morris,"$41,418",5
Morrison,"$57,471",6
Motley,"$41,009",5
Mower,"$53,387",6
Murray,"$59,938",6
Nacogdoches,"$45,357",5
Napa,"$85,624",7
Navarro,"$46,259",5
Nevada,"$66,681",6
Newton,"$43,367",5
Nicollet,"$66,209",6
Nobles,"$55,766",6
Nolan,"$42,522",5
Norman,"$48,799",5
Nueces,"$53,034",6
Ochiltree,"$49,845",5
Oldham,"$56,590",6
Olmsted,"$76,001",7
Orange_CA,"$56,556",6
Orange_TX,"$89,373",7
Otter Tail,"$53,778",6
Palo Pinto,"$46,067",5
Panola,"$51,192",6
Parker,"$73,718",6
Parmer,"$50,539",6
Pecos,"$47,008",5
Pennington,"$57,494",6
Pine,"$50,387",6
Pipestone,"$55,378",6
Placer,"$89,175",7
Plumas,"$55,079",6
Polk_MN,"$46,017",5
Polk_TX,"$60,180",6
Pope,"$60,975",6
Potter,"$41,912",5
Presidio,"$37,738",5
Rains,"$47,572",5
Ramsey,"$62,937",6
Randall,"$69,600",6
Reagan,"$65,273",6
Real,"$39,506",5
Red Lake,"$54,412",6
Red River,"$42,233",5
Redwood,"$56,760",6
Reeves,"$45,341",5
Refugio,"$44,821",5
Renville,"$59,787",6
Rice,"$67,024",6
Riverside,"$66,793",6
Roberts,"$67,470",6
Robertson,"$44,917",5
Rock,"$63,503",6
Rockwall,"$102,858",8
Roseau,"$60,239",6
Runnels,"$42,205",5
Rusk,"$49,788",5
Sabine,"$40,641",5
Sacramento,"$69,475",6
San Augustine,"$38,826",5
San Benito,"$80,063",7
San Bernardino,"$63,310",6
San Diego,"$78,777",7
San Francisco,"$110,601",8
San Jacinto,"$47,028",5
San Joaquin,"$63,567",6
San Luis Obispo,"$70,626",6
San Mateo,"$122,930",8
San Patricio,"$53,559",6
San Saba,"$43,827",5
Santa Barbara,"$75,646",7
Santa Clara,"$125,933",9
Santa Cruz,"$84,213",7
Schleicher,"$47,317",5
Scott,"$101,427",8
Scurry,"$53,059",6
Shackelford,"$57,126",6
Shasta,"$53,908",6
Shelby,"$41,961",5
Sherburne,"$81,850",7
Sherman,"$57,052",6
Sibley,"$66,209",6
Sierra,"$52,308",6
Siskiyou,"$47,560",5
Smith,"$56,848",6
Solano,"$82,808",7
Somervell,"$63,929",6
Sonoma,"$81,002",7
St. Louis,"$53,833",6
Stanislaus,"$59,616",6
Starr,"$30,490",4
Stearns,"$60,843",6
Steele,"$65,323",6
Stephens,"$43,115",5
Sterling,"$59,064",6
Stevens,"$61,929",6
Stonewall,"$46,915",5
Sutter,"$57,879",6
Sutton,"$54,774",6
Swift,"$51,552",6
Swisher,"$43,084",5
Tarrant,"$66,059",6
Taylor,"$48,040",5
Tehama,"$47,572",5
Terrell,"$41,413",5
Terry,"$41,268",5
Throckmorton,"$42,701",5
Titus,"$45,604",5
Todd,"$58,113",6
Tom Green,"$51,393",6
Traverse,"$49,773",5
Travis,"$76,255",7
Trinity_CA,"$40,486",5
Trinity_TX,"$40,680",5
Tulare,"$48,763",5
Tuolumne,"$56,500",6
Tyler,"$44,041",5
Upshur,"$48,554",5
Upton,"$53,867",6
Uvalde,"$39,725",5
Val Verde,"$44,276",5
Van Zandt,"$51,152",6
Ventura,"$84,170",7
Victoria,"$51,646",6
Wabasha,"$63,633",6
Wadena,"$46,312",5
Walker,"$43,681",5
Waller,"$59,807",6
Ward,"$53,621",6
Waseca,"$58,335",6
Washington_MN,"$54,332",6
Washington_TX,"$95,840",7
Watonwan,"$51,962",6
Webb,"$44,919",5
Wharton,"$48,040",5
Wheeler,"$48,018",5
Wichita,"$47,477",5
Wilbarger,"$44,735",5
Wilkin,"$61,387",6
Willacy,"$33,171",4
Williamson,"$87,817",7
Wilson,"$71,207",6
Winkler,"$56,781",6
Winona,"$56,076",6
Wise,"$66,387",6
Wood,"$48,384",5
Wright,"$87,377",7
Yellow Medicine,"$56,528",6
Yoakum,"$61,560",6
Yolo,"$67,804",6
Young,"$49,301",5
Yuba,"$47,504",5
Zapata,"$33,160",4
Zavala,"$30,076",4
