,counties,county_stripped
168,"Brooks County, Texas",Brooks
169,"Brown County, Texas",Brown
170,"Burleson County, Texas",Burleson
171,"Burnet County, Texas",Burnet
172,"Caldwell County, Texas",Caldwell
173,"Calhoun County, Texas",Calhoun
174,"Callahan County, Texas",Callahan
175,"Cameron County, Texas",Cameron
176,"Camp County, Texas",Camp
177,"Carson County, Texas",Carson
178,"Cass County, Texas",Cass
179,"Castro County, Texas",Castro
180,"Chambers County, Texas",Chambers
181,"Cherokee County, Texas",Cherokee
182,"Childress County, Texas",Childress
183,"Clay County, Texas",Clay
184,"Cochran County, Texas",Cochran
185,"Coke County, Texas",Coke
186,"Coleman County, Texas",Coleman
187,"Collin County, Texas",Collin
188,"Collingsworth County, Texas",Collingsworth
189,"Colorado County, Texas",Colorado
190,"Comal County, Texas",Comal
191,"Comanche County, Texas",Comanche
192,"Concho County, Texas",Concho
193,"Cooke County, Texas",Cooke
194,"Coryell County, Texas",Coryell
195,"Cottle County, Texas",Cottle
196,"Crane County, Texas",Crane
197,"Crockett County, Texas",Crockett
198,"Crosby County, Texas",Crosby
199,"Culberson County, Texas",Culberson
200,"Dallam County, Texas",Dallam
201,"Dallas County, Texas",Dallas
202,"Dawson County, Texas",Dawson
203,"Deaf Smith County, Texas",Deaf Smith
204,"Delta County, Texas",Delta
205,"Denton County, Texas",Denton
206,"DeWitt County, Texas",DeWitt
207,"Dickens County, Texas",Dickens
208,"Dimmit County, Texas",Dimmit
209,"Donley County, Texas",Donley
210,"Duval County, Texas",Duval
211,"Eastland County, Texas",Eastland
212,"Ector County, Texas",Ector
213,"Edwards County, Texas",Edwards
214,"Ellis County, Texas",Ellis
215,"El Paso County, Texas",El Paso
216,"Erath County, Texas",Erath
217,"Falls County, Texas",Falls
218,"Fannin County, Texas",Fannin
219,"Fayette County, Texas",Fayette
220,"Fisher County, Texas",Fisher
221,"Floyd County, Texas",Floyd
222,"Foard County, Texas",Foard
223,"Fort Bend County, Texas",Fort Bend
224,"Franklin County, Texas",Franklin
225,"Freestone County, Texas",Freestone
226,"Frio County, Texas",Frio
227,"Gaines County, Texas",Gaines
228,"Galveston County, Texas",Galveston
