,Fuel Type Code,Station Name,City,State,ZIP,Latitude,Longitude,ID,E85 Blender Pump,Points,County
1132,E85,Norman's Auto Service,New Hyde Park,NY,11040,40.753274,-73.703397,40324,False,"(-73.703397, 40.753274)",Queens
1133,E85,Prestige Petroleum - Valero,Newburgh,NY,12550,41.555133000000005,-74.004052,40325,False,"(-74.004052, 41.555133000000005)",Orange
1134,E85,Speedway #5238,Columbus,OH,43119,39.931302,-83.160276,40326,False,"(-83.160276, 39.931302)",Franklin
1135,E85,Sunol Super Stop,Sunol,CA,94586,37.573021999999995,-121.884519,40331,False,"(-121.884519, 37.573021999999995)",Alameda
1136,E85,Lighthouse Point U-Gas,Lighthouse Point,FL,33064,26.295140999999997,-80.09414699999999,40334,False,"(-80.09414699999999, 26.295140999999997)",Broward
1137,E85,Shell - Palos Hills Mart,Palos Hills,IL,60465,41.703996000000004,-87.798389,40340,False,"(-87.798389, 41.703996000000004)",Cook
1138,E85,Hometown Express #2,Galva,IL,61434,41.164688,-90.042778,40341,False,"(-90.042778, 41.164688)",Henry
1139,E85,Jiffi Stop,Jacksonville,IL,62650,39.722557,-90.240195,40342,False,"(-90.240195, 39.722557)",Morgan
1140,E85,Thorntons #309,Lakemoor,IL,60051,42.328289,-88.197644,40343,False,"(-88.197644, 42.328289)",Lake
1141,E85,Manlius Oil Co,Sheffield,IL,61361,41.463375,-89.688889,40345,False,"(-89.688889, 41.463375)",Bureau
1142,E85,Speedway #6125,Avon,IN,46123,39.764117999999996,-86.328644,40346,False,"(-86.328644, 39.764117999999996)",Hendricks
1143,E85,Speedway #6662,Bristol,IN,46507,41.667753000000005,-85.822264,40347,False,"(-85.822264, 41.667753000000005)",Elkhart
1144,E85,Speedway #6105,Clermont,IN,46234,39.817169,-86.32687,40348,False,"(-86.32687, 39.817169)",Marion
1145,E85,Speedway #1018,Indianapolis,IN,46224,39.779524,-86.250323,40349,False,"(-86.250323, 39.779524)",Marion
1146,E85,Speedway #3766,Indianapolis,IN,46239,39.750609000000004,-86.026893,40350,False,"(-86.026893, 39.750609000000004)",Marion
1147,E85,Speedway #7102,Indianapolis,IN,46227,39.679459,-86.14972,40351,False,"(-86.14972, 39.679459)",Marion
1148,E85,Speedway #3310,Lafayette,IN,47905,40.388985999999996,-86.839789,40352,False,"(-86.839789, 40.388985999999996)",Tippecanoe
1149,E85,Speedway #3338,Plainfield,IN,46168,39.72745649,-86.33838995,40353,False,"(-86.33838995, 39.72745649)",Hendricks
1150,E85,Ascheman Unimart,Appleton,MN,56208,45.20219,-96.020688,40357,False,"(-96.020688, 45.20219)",Swift
1151,E85,Cenex Harvest States Inc,Inver Grove Heights,MN,55077,44.869427,-93.06281899999999,40359,True,"(-93.06281899999999, 44.869427)",Dakota
1152,E85,Planet Ozone,Stuart,FL,34994,27.184005,-80.24234100000001,40528,False,"(-80.24234100000001, 27.184005)",Martin
1153,E85,Citgo,Orlando,FL,32805,28.514934000000004,-81.391449,40553,False,"(-81.391449, 28.514934000000004)",Orange
1154,E85,MAPCO Express #3649,Madison,AL,35758,34.748585,-86.784874,40625,False,"(-86.784874, 34.748585)",Madison
1155,E85,Rhodes 101 Stop,Cape Girardeau,MO,63703,37.295741,-89.527885,40630,False,"(-89.527885, 37.295741)",Cape Girardeau
1156,E85,Conoco,New Rochelle,NY,10801,40.904439,-73.78769100000001,40632,False,"(-73.78769100000001, 40.904439)",Westchester
1157,E85,Quickway Market,Bend,OR,97701,44.076561,-121.29568799999998,40636,False,"(-121.29568799999998, 44.076561)",Deschutes
1158,E85,K & K Convenience Store,Sisseton,SD,57262,45.660439000000004,-97.04660799999999,40639,False,"(-97.04660799999999, 45.660439000000004)",Roberts
1159,E85,H-E-B #71,Temple,TX,76504,31.102411,-97.353836,40640,False,"(-97.353836, 31.102411)",Bell
1160,E85,Speedway #7096,Schoolcraft,MI,49087,42.11016,-85.6378,40698,False,"(-85.6378, 42.11016)",Kalamazoo
1161,E85,Speedway #8705,Ann Arbor,MI,48108,42.229197,-83.7385,40699,False,"(-83.7385, 42.229197)",Washtenaw
1162,E85,Kum & Go #134,Fairfield,IA,52556,41.007090000000005,-91.981752,40885,True,"(-91.981752, 41.007090000000005)",Jefferson
1163,E85,Speedway #7765,Darien,IL,60561,41.751649,-87.9741,40887,False,"(-87.9741, 41.751649)",DuPage
1164,E85,Speedway #5381,Lockport,IL,60441,41.594741,-88.054419,40888,False,"(-88.054419, 41.594741)",Will
1165,E85,Speedway #5007,Indianapolis,IN,46227,39.63607211,-86.12638304,40889,False,"(-86.12638304, 39.63607211)",Marion
1166,E85,Speedway #7526,Lowell,IN,46356,41.290171,-87.401358,40890,False,"(-87.401358, 41.290171)",Lake
1167,E85,Speedway #1129,Newark,OH,43055,40.05972,-82.386964,40895,False,"(-82.386964, 40.05972)",Licking
1168,E85,Propel Fuels - Shell,Norwalk,CA,90650,33.9093028,-118.0761469,41179,False,"(-118.0761469, 33.9093028)",Los Angeles
1169,E85,Propel Fuels - 76,Wilmington,CA,90744,33.790993,-118.283097,41180,False,"(-118.283097, 33.790993)",Los Angeles
1170,E85,First Co-op Association,Aurelia,IA,51005,42.86127204,-95.54651804,41183,False,"(-95.54651804, 42.86127204)",Cherokee
1171,E85,Kum & Go #508,Cedar Rapids,IA,52404,41.923460999999996,-91.657108,41184,True,"(-91.657108, 41.923460999999996)",Linn
1172,E85,United Farmers Co-op,Clearfield,IA,50840,40.800065999999994,-94.47561999999999,41185,True,"(-94.47561999999999, 40.800065999999994)",Taylor
1173,E85,First Co-op Association,Cleghorn,IA,51014,42.808471000000004,-95.712327,41186,False,"(-95.712327, 42.808471000000004)",Cherokee
1174,E85,Marathon - Metro Fuel Services LLC,Romulus,MI,48174,42.253096,-83.348537,41188,False,"(-83.348537, 42.253096)",Wayne
1175,E85,Sunoco - Unity Service Station,Westland,MI,48186,42.296822,-83.34971,41190,False,"(-83.34971, 42.296822)",Wayne
1176,E85,Kum & Go #578,St. Robert,MO,65584,37.82257,-92.144375,41191,True,"(-92.144375, 37.82257)",Pulaski
1177,E85,Aurora Co-op,St. Paul,NE,68873,41.211892,-98.450882,41198,True,"(-98.450882, 41.211892)",Howard
1178,E85,Stripes Store #2221,Corpus Christi,TX,78413,27.693267,-97.415679,41199,False,"(-97.415679, 27.693267)",Nueces
1179,E85,Stripes Store #2259,Lubbock,TX,79404,33.520356,-101.84535600000001,41200,False,"(-101.84535600000001, 33.520356)",Lubbock
1180,E85,Kwik Trip #430,Ashwaubenon,WI,54304,44.475101,-88.07411,41201,False,"(-88.07411, 44.475101)",Brown
1181,E85,Kwik Trip #721,Marshall,WI,53559,43.169121000000004,-89.069526,41202,False,"(-89.069526, 43.169121000000004)",Dane
1182,E85,Kum & Go #967,Rock Springs,WY,82901,41.617727,-109.231458,41204,False,"(-109.231458, 41.617727)",Sweetwater
1183,E85,Speedway #7428,White Pigeon,MI,49099,41.796726,-85.662939,41405,False,"(-85.662939, 41.796726)",St. Joseph
1184,E85,Kroger #423,Newport,KY,41071,39.09153,-84.47805,41614,False,"(-84.47805, 39.09153)",Campbell
1185,E85,Citgo - Crown Express Mart,Raleigh,NC,27610,35.779509000000004,-78.621114,41636,False,"(-78.621114, 35.779509000000004)",Wake
1186,E85,Kwik Trip #686,Sturtevant,WI,53177,42.724204,-87.95218100000001,41712,False,"(-87.95218100000001, 42.724204)",Racine
1187,E85,Speedway #4275,Blacklick,OH,43004,39.985838,-82.792722,41737,False,"(-82.792722, 39.985838)",Franklin
1188,E85,Speedway #2034,Columbus,OH,43219,40.032498,-82.910586,41738,False,"(-82.910586, 40.032498)",Franklin
1189,E85,Speedway #3323,Columbus,OH,43219,40.000413,-82.92921899999999,41739,False,"(-82.92921899999999, 40.000413)",Franklin
1190,E85,Speedway #5333,Fairborn,OH,45324,39.785102,-83.989552,41740,False,"(-83.989552, 39.785102)",Greene
1191,E85,Speedway #9733,Marion,OH,43302,40.564339000000004,-83.120491,41741,False,"(-83.120491, 40.564339000000004)",Marion
1192,E85,Speedway #9585,Mt Healthy,OH,45231,39.227917,-84.547983,41742,False,"(-84.547983, 39.227917)",Hamilton
1193,E85,Speedway #4131,Springfield,OH,45504,39.952034999999995,-83.828975,41743,False,"(-83.828975, 39.952034999999995)",Clark
1194,E85,Speedway #3424,Troy,OH,45373,40.029343,-84.222818,41744,False,"(-84.222818, 40.029343)",Miami
1195,E85,Sunoco - North Potomac,Rockville,MD,20850,39.096701,-77.20596,41898,False,"(-77.20596, 39.096701)",Montgomery
1196,E85,Corner Store #1251,Albuquerque,NM,87114,35.213964000000004,-106.69878899999999,41971,False,"(-106.69878899999999, 35.213964000000004)",Bernalillo
1197,E85,Shell - Hartford Road Henny Penny,Waterford,CT,6385,41.387482,-72.158661,42076,False,"(-72.158661, 41.387482)",New London
1198,E85,Boondocks,Arnolds Park,IA,51331,43.370794000000004,-95.125491,42097,False,"(-95.125491, 43.370794000000004)",Dickinson
1199,E85,Heller Implement,Dunlap,IA,51529,41.857395000000004,-95.601546,42098,True,"(-95.601546, 41.857395000000004)",Harrison
1200,E85,Agriland Fast Stop Express,Indianola,IA,50125,41.357965,-93.595748,42099,False,"(-93.595748, 41.357965)",Warren
1201,E85,Gaithersburg W Express,Gaithersburg,MD,20877,39.142478000000004,-77.200353,42100,False,"(-77.200353, 39.142478000000004)",Montgomery
1202,E85,Gordy's Inc,Mapleton,ND,58059,46.879922,-97.051603,42102,False,"(-97.051603, 46.879922)",Cass
1203,E85,Airport Exxon - Rogers Petroleum Corp,Newport News,VA,23602,37.112541,-76.500328,42107,False,"(-76.500328, 37.112541)",Newport News
1204,E85,Marathon - J & H Family Store,East Lansing,MI,48823,42.720131,-84.494354,42459,False,"(-84.494354, 42.720131)",Ingham
1205,E85,Kum & Go #573,Des Moines,IA,50320,41.533405,-93.599386,42612,True,"(-93.599386, 41.533405)",Polk
1206,E85,Bamboo Ridge Campground,Waterloo,IA,50701,42.449038,-92.318795,42614,False,"(-92.318795, 42.449038)",Black Hawk
1207,E85,Speedway #7450,Downers Grove,IL,60515,41.809699,-88.007693,42615,False,"(-88.007693, 41.809699)",DuPage
1208,E85,Speedway #7613,Homer Glen,IL,60491,41.599763,-87.910865,42616,False,"(-87.910865, 41.599763)",Will
1209,E85,Speedway #5196,Terre Haute,IN,47802,39.387370000000004,-87.39684,42617,False,"(-87.39684, 39.387370000000004)",Vigo
1210,E85,Thorntons #73,Edgewood,KY,41018,39.021567,-84.586712,42619,False,"(-84.586712, 39.021567)",Kenton
1211,E85,Speedway #9628,Somerset,KY,42501,36.953267,-84.579847,42620,False,"(-84.579847, 36.953267)",Pulaski
1212,E85,Mobil - J & H Family Store Cedar Rock,Cedar Springs,MI,49319,43.179333,-85.551016,42621,False,"(-85.551016, 43.179333)",Kent
1213,E85,Speedway #8884,Ypsilanti,MI,48197,42.24582,-83.583466,42622,False,"(-83.583466, 42.24582)",Washtenaw
1214,E85,Speedway #1204,Canal Winchester,OH,43110,39.910446,-82.824963,42627,False,"(-82.824963, 39.910446)",Franklin
1215,E85,Speedway #8605,Garfield Heights,OH,44125,41.421991999999996,-81.610225,42628,False,"(-81.610225, 41.421991999999996)",Cuyahoga
1216,E85,Speedway #1848,Macedonia,OH,44056,41.314052000000004,-81.511859,42629,False,"(-81.511859, 41.314052000000004)",Summit
1217,E85,Kum & Go #841,Claremore,OK,74017,36.306769,-95.597339,42630,False,"(-95.597339, 36.306769)",Rogers
1218,E85,Spinx #135,Piedmont,SC,29673,34.710623,-82.502124,42633,False,"(-82.502124, 34.710623)",Anderson
1219,E85,Max Fuel #11,Hopkinsville,KY,42240,36.826763,-87.472911,42882,False,"(-87.472911, 36.826763)",Christian
1220,E85,Kum & Go #2091,West Des Moines,IA,50266,41.584806,-93.790048,43113,False,"(-93.790048, 41.584806)",Polk
1221,E85,Lassus Handy Dandy #47,Fort Wayne,IN,46825,41.178273,-85.099335,43114,True,"(-85.099335, 41.178273)",Allen
1222,E85,Holiday Stationstore #3514,Coon Rapids,MN,55448,45.18335,-93.313275,43115,False,"(-93.313275, 45.18335)",Anoka
1223,E85,Fischer's Market,San Antonio,TX,78237,29.405666999999998,-98.57566700000001,43118,False,"(-98.57566700000001, 29.405666999999998)",Bexar
1224,E85,US Petroleum,East Northport,NY,11731,40.877161,-73.32508299999999,43572,False,"(-73.32508299999999, 40.877161)",Suffolk
1225,E85,Corner Store #1253,El Paso,TX,79938,31.77693,-106.26696499999998,43736,False,"(-106.26696499999998, 31.77693)",El Paso
1226,E85,Corner Store #1054,San Antonio,TX,78249,29.574703000000003,-98.595864,44654,False,"(-98.595864, 29.574703000000003)",Bexar
1227,E85,Kum & Go #228,Sioux City,IA,51106,42.469003,-96.346861,44853,True,"(-96.346861, 42.469003)",Woodbury
1228,E85,Thorntons #16,Bloomingdale,IL,60108,41.956903999999994,-88.071053,44854,True,"(-88.071053, 41.956903999999994)",DuPage
1229,E85,Meijer Gas #146,Champaign,IL,61822,40.14322,-88.258888,44855,False,"(-88.258888, 40.14322)",Champaign
1230,E85,Magazine Beach Shell Auto Repair Service,Cambridge,MA,2139,42.356813,-71.114147,44857,False,"(-71.114147, 42.356813)",Middlesex
1231,E85,Meijer Gas #253,East Lansing,MI,48823,42.771221000000004,-84.418938,44858,False,"(-84.418938, 42.771221000000004)",Clinton
1232,E85,Cottonwood Express Marathon,Jenison,MI,49428,42.920840000000005,-85.81174,44859,False,"(-85.81174, 42.920840000000005)",Ottawa
1233,E85,Meijer Gas #108,Midland,MI,48642,43.663294,-84.244229,44860,False,"(-84.244229, 43.663294)",Midland
